seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;batch_size;val_batch_size;test_batch_size;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];r2n;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-r2n-None-1-100;4;[0.014, 0.012];[0.014, 0.012];[0.014, 0.012];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.014, 0.002];[0.014, 0.002];[0.014, 0.002];[0.946, 0.005];[0.93, 0.009];[0.954, 0.008];[0.946, 0.005];[0.93, 0.009];[0.954, 0.008];[0.362, 0.189];[0.362, 0.189];[0.362, 0.189];[0.972, 0.017];[0.952, 0.027];[0.992, 0.01];[0.972, 0.017];[0.952, 0.027];[0.992, 0.01];[27.498, 0.804]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-no_reasoner-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[21.149, 1.156]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-sbr-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[27.062, 0.953]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-rnm-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[26.283, 1.303]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-dcr-None-1-100;4;[0.024, 0.023];[0.024, 0.023];[0.024, 0.023];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.018, 0.007];[0.018, 0.007];[0.018, 0.007];[0.941, 0.007];[0.926, 0.01];[0.942, 0.016];[0.941, 0.007];[0.926, 0.01];[0.942, 0.016];[0.352, 0.209];[0.352, 0.209];[0.352, 0.209];[0.972, 0.022];[0.952, 0.037];[0.992, 0.01];[0.972, 0.022];[0.952, 0.037];[0.992, 0.01];[32.003, 1.168]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-r2n-None-1-100;4;[0.014, 0.012];[0.014, 0.012];[0.014, 0.012];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.014, 0.002];[0.014, 0.002];[0.014, 0.002];[0.946, 0.005];[0.93, 0.009];[0.954, 0.008];[0.946, 0.005];[0.93, 0.009];[0.954, 0.008];[0.362, 0.189];[0.362, 0.189];[0.362, 0.189];[0.972, 0.017];[0.952, 0.027];[0.992, 0.01];[0.972, 0.017];[0.952, 0.027];[0.992, 0.01];[27.572, 1.54]
[0, 1, 2, 3, 4];no_reasoner;countries_s2;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-no_reasoner-None-1-100;4;[0.021, 0.008];[0.021, 0.008];[0.021, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.021, 0.002];[0.021, 0.002];[0.021, 0.002];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.301, 0.058];[0.301, 0.058];[0.301, 0.058];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[21.418, 1.635]
[0, 1, 2, 3, 4];sbr;countries_s2;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-sbr-None-1-100;4;[0.03, 0.018];[0.031, 0.019];[0.03, 0.018];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.024, 0.005];[0.024, 0.005];[0.024, 0.005];[0.88, 0.009];[0.852, 0.012];[0.886, 0.01];[0.88, 0.009];[0.852, 0.012];[0.886, 0.01];[0.242, 0.065];[0.242, 0.066];[0.241, 0.065];[0.944, 0.011];[0.904, 0.015];[0.992, 0.016];[0.944, 0.011];[0.904, 0.015];[0.992, 0.016];[371.331, 4.152]
[0, 1, 2, 3, 4];rnm;countries_s2;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-rnm-None-1-100;4;[0.024, 0.007];[0.024, 0.007];[0.024, 0.007];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.022, 0.002];[0.022, 0.002];[0.022, 0.002];[0.876, 0.01];[0.848, 0.015];[0.88, 0.011];[0.876, 0.01];[0.848, 0.015];[0.88, 0.011];[0.266, 0.031];[0.266, 0.031];[0.266, 0.031];[0.945, 0.012];[0.904, 0.02];[0.984, 0.015];[0.945, 0.012];[0.904, 0.02];[0.984, 0.015];[372.356, 3.646]
[0, 1, 2, 3, 4];dcr;countries_s2;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-dcr-None-1-100;4;[0.029, 0.023];[0.027, 0.022];[0.027, 0.021];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.031, 0.009];[0.026, 0.006];[0.026, 0.006];[0.871, 0.007];[0.838, 0.01];[0.886, 0.019];[0.871, 0.007];[0.838, 0.01];[0.886, 0.019];[0.31, 0.12];[0.306, 0.123];[0.305, 0.123];[0.944, 0.014];[0.912, 0.02];[0.964, 0.015];[0.944, 0.014];[0.912, 0.02];[0.964, 0.015];[382.722, 4.095]
[0, 1, 2, 3, 4];r2n;countries_s2;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-r2n-None-1-100;4;[0.085, 0.113];[0.099, 0.131];[0.071, 0.096];[0.999, 0.001];[0.997, 0.002];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.049, 0.041];[0.05, 0.042];[0.049, 0.041];[0.865, 0.017];[0.826, 0.024];[0.884, 0.027];[0.879, 0.006];[0.848, 0.007];[0.892, 0.017];[0.246, 0.104];[0.255, 0.101];[0.238, 0.109];[0.948, 0.036];[0.916, 0.056];[0.972, 0.024];[0.948, 0.036];[0.916, 0.056];[0.972, 0.024];[373.806, 2.756]
[0, 1, 2, 3, 4];no_reasoner;countries_s2;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_2-complex-no_reasoner-None-1-100;4;[0.021, 0.008];[0.021, 0.008];[0.021, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.021, 0.002];[0.021, 0.002];[0.021, 0.002];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.301, 0.058];[0.301, 0.058];[0.301, 0.058];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[21.867, 2.246]
[0, 1, 2, 3, 4];sbr;countries_s2;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_2-complex-sbr-None-1-100;4;[0.021, 0.008];[0.021, 0.008];[0.021, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.021, 0.002];[0.021, 0.002];[0.021, 0.002];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.301, 0.058];[0.301, 0.058];[0.301, 0.058];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[688.704, 2.289]
[0, 1, 2, 3, 4];rnm;countries_s2;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_2-complex-rnm-None-1-100;4;[0.021, 0.008];[0.021, 0.008];[0.021, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.021, 0.002];[0.021, 0.002];[0.021, 0.002];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.876, 0.01];[0.848, 0.015];[0.884, 0.005];[0.301, 0.058];[0.301, 0.058];[0.301, 0.058];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[0.936, 0.009];[0.892, 0.01];[0.984, 0.015];[688.206, 1.964]
