sep=;
dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;corrupt_mode;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;predicate_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;kge_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;kge_checkpoint_load;keys_signature;run_signature;seed_run_i;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@10@10;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
countries_s1;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-dcr-None-1-100;4;0.05;0.05;21.62;0.01;0.19;[0.21, 0.251];[0.187, 0.244];[0.19, 0.241];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.034];[0.327, 0.034];[0.346, 0.042];[0.884, 0.031];[0.854, 0.033];[0.9, 0.032];[0.934, 0.037];[0.911, 0.017];[0.862, 0.022];[0.95, 0.017];[0.998, 0.004];[0.297, 0.074];[0.285, 0.064];[0.264, 0.074];[0.938, 0.033];[0.896, 0.054];[0.98, 0.022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.04, 0.009];[0.042, 0.004];[14.508, 3.632];[0.01, 0.0];[0.104, 0.043]
countries_s1;backward_unknown2_3;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_3-complex-sbr-None-1-100;4;[0.216, 0.268];[0.216, 0.27];[0.216, 0.268];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.042];[0.352, 0.034];[0.377, 0.051];[0.864, 0.032];[0.83, 0.036];[0.878, 0.037];[0.924, 0.033];[0.913, 0.017];[0.862, 0.024];[0.95, 0.023];[0.988, 0.01];[0.295, 0.067];[0.308, 0.063];[0.282, 0.072];[0.922, 0.023];[0.864, 0.043];[0.984, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.174, 0.037];[0.23, 0.018];[18.816, 0.972];[0.032, 0.007];[0.222, 0.012]
countries_s1;backward_unknown2_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_3-complex-r2n-None-1-100;4;[0.293, 0.204];[0.313, 0.207];[0.272, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.323, 0.023];[0.279, 0.037];[0.366, 0.025];[0.825, 0.017];[0.78, 0.021];[0.852, 0.029];[0.908, 0.029];[0.886, 0.01];[0.822, 0.013];[0.938, 0.015];[0.998, 0.004];[0.265, 0.046];[0.316, 0.055];[0.214, 0.037];[0.896, 0.019];[0.82, 0.022];[0.976, 0.02];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.148, 0.048];[0.172, 0.068];[20.16, 0.858];[0.03, 0.0];[0.222, 0.016]
countries_s1;backward_unknown2_3;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_3-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.08, 0.0];[0.09, 0.0];[17.61, 0.065];[0.004, 0.005];[0.188, 0.004]
countries_s1;backward_unknown0_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_1-complex-dcr-None-1-100;4;[0.111, 0.118];[0.098, 0.108];[0.102, 0.107];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.375, 0.061];[0.348, 0.059];[0.376, 0.079];[0.884, 0.018];[0.854, 0.022];[0.9, 0.017];[0.946, 0.017];[0.916, 0.018];[0.868, 0.019];[0.958, 0.026];[0.998, 0.004];[0.282, 0.025];[0.284, 0.014];[0.257, 0.019];[0.935, 0.014];[0.888, 0.024];[0.984, 0.015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.12, 0.035];[0.146, 0.043];[23.702, 0.969];[0.018, 0.004];[0.206, 0.01]
countries_s1;backward_unknown0_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_1-complex-sbr-None-1-100;4;[0.214, 0.27];[0.214, 0.271];[0.214, 0.269];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.389, 0.05];[0.375, 0.039];[0.403, 0.061];[0.877, 0.029];[0.85, 0.03];[0.892, 0.035];[0.932, 0.031];[0.924, 0.015];[0.88, 0.017];[0.962, 0.015];[0.99, 0.013];[0.302, 0.06];[0.312, 0.058];[0.291, 0.063];[0.926, 0.022];[0.868, 0.039];[0.988, 0.01];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.138, 0.004];[0.154, 0.014];[18.538, 0.048];[0.02, 0.0];[0.214, 0.005]
countries_s1;backward_unknown0_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_1-complex-r2n-None-1-100;4;[0.273, 0.232];[0.296, 0.244];[0.25, 0.22];[0.998, 0.003];[0.997, 0.006];[1.0, 0.0];[1.0, 0.0];[0.999, 0.002];[0.998, 0.004];[1.0, 0.0];[1.0, 0.0];[0.331, 0.05];[0.295, 0.044];[0.367, 0.059];[0.778, 0.091];[0.728, 0.103];[0.8, 0.091];[0.884, 0.064];[0.913, 0.025];[0.864, 0.033];[0.946, 0.031];[1.0, 0.0];[0.269, 0.048];[0.319, 0.06];[0.22, 0.04];[0.899, 0.041];[0.828, 0.06];[0.968, 0.035];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.138, 0.004];[0.168, 0.004];[20.058, 0.99];[0.02, 0.0];[0.212, 0.004]
countries_s1;backward_unknown0_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_1-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.08, 0.0];[0.092, 0.004];[17.464, 0.219];[0.002, 0.004];[0.19, 0.0]
countries_s1;backward_unknown0_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_2-complex-dcr-None-1-100;4;[0.111, 0.118];[0.098, 0.108];[0.102, 0.107];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.375, 0.061];[0.348, 0.059];[0.376, 0.079];[0.884, 0.018];[0.854, 0.022];[0.9, 0.017];[0.946, 0.017];[0.916, 0.018];[0.868, 0.019];[0.958, 0.026];[0.998, 0.004];[0.282, 0.025];[0.284, 0.014];[0.257, 0.019];[0.935, 0.014];[0.888, 0.024];[0.984, 0.015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.14, 0.0];[0.16, 0.013];[23.788, 1.271];[0.018, 0.004];[0.206, 0.014]
countries_s1;backward_unknown0_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_2-complex-sbr-None-1-100;4;[0.214, 0.27];[0.214, 0.271];[0.214, 0.269];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.389, 0.05];[0.375, 0.039];[0.403, 0.061];[0.877, 0.029];[0.85, 0.03];[0.892, 0.035];[0.932, 0.031];[0.924, 0.015];[0.88, 0.017];[0.962, 0.015];[0.99, 0.013];[0.302, 0.06];[0.312, 0.058];[0.291, 0.063];[0.926, 0.022];[0.868, 0.039];[0.988, 0.01];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.14, 0.0];[0.166, 0.005];[18.51, 0.169];[0.02, 0.0];[0.212, 0.004]
countries_s1;backward_unknown0_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_2-complex-r2n-None-1-100;4;[0.273, 0.232];[0.296, 0.244];[0.25, 0.22];[0.998, 0.003];[0.997, 0.006];[1.0, 0.0];[1.0, 0.0];[0.999, 0.002];[0.998, 0.004];[1.0, 0.0];[1.0, 0.0];[0.331, 0.05];[0.295, 0.044];[0.367, 0.059];[0.778, 0.091];[0.728, 0.103];[0.8, 0.091];[0.884, 0.064];[0.913, 0.025];[0.864, 0.033];[0.946, 0.031];[1.0, 0.0];[0.269, 0.048];[0.319, 0.06];[0.22, 0.04];[0.899, 0.041];[0.828, 0.06];[0.968, 0.035];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.14, 0.0];[0.162, 0.007];[19.452, 0.047];[0.02, 0.0];[0.21, 0.011]
countries_s1;backward_unknown0_2;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_2-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.082, 0.004];[0.092, 0.004];[18.03, 1.556];[0.004, 0.005];[0.188, 0.007]
countries_s1;backward_unknown0_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_3-complex-dcr-None-1-100;4;[0.111, 0.118];[0.098, 0.108];[0.102, 0.107];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.375, 0.061];[0.348, 0.059];[0.376, 0.079];[0.884, 0.018];[0.854, 0.022];[0.9, 0.017];[0.946, 0.017];[0.916, 0.018];[0.868, 0.019];[0.958, 0.026];[0.998, 0.004];[0.282, 0.025];[0.284, 0.014];[0.257, 0.019];[0.935, 0.014];[0.888, 0.024];[0.984, 0.015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.14, 0.0];[0.16, 0.017];[23.32, 0.15];[0.02, 0.0];[0.21, 0.0]
countries_s1;backward_unknown0_3;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_3-complex-sbr-None-1-100;4;[0.214, 0.27];[0.214, 0.271];[0.214, 0.269];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.389, 0.05];[0.375, 0.039];[0.403, 0.061];[0.877, 0.029];[0.85, 0.03];[0.892, 0.035];[0.932, 0.031];[0.924, 0.015];[0.88, 0.017];[0.962, 0.015];[0.99, 0.013];[0.302, 0.06];[0.312, 0.058];[0.291, 0.063];[0.926, 0.022];[0.868, 0.039];[0.988, 0.01];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.14, 0.0];[0.17, 0.006];[18.452, 0.206];[0.02, 0.0];[0.206, 0.014]
countries_s1;backward_unknown0_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_3-complex-r2n-None-1-100;4;[0.273, 0.232];[0.296, 0.244];[0.25, 0.22];[0.998, 0.003];[0.997, 0.006];[1.0, 0.0];[1.0, 0.0];[0.999, 0.002];[0.998, 0.004];[1.0, 0.0];[1.0, 0.0];[0.331, 0.05];[0.295, 0.044];[0.367, 0.059];[0.778, 0.091];[0.728, 0.103];[0.8, 0.091];[0.884, 0.064];[0.913, 0.025];[0.864, 0.033];[0.946, 0.031];[1.0, 0.0];[0.269, 0.048];[0.319, 0.06];[0.22, 0.04];[0.899, 0.041];[0.828, 0.06];[0.968, 0.035];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.126, 0.028];[0.16, 0.013];[19.332, 0.212];[0.02, 0.0];[0.212, 0.004]
countries_s1;backward_unknown0_3;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown0_3-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.922, 1.709];[0.076, 0.02];[18.464, 1.709];[0.004, 0.005];[0.194, 0.005]
countries_s1;backward_unknown1_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_1-complex-dcr-None-1-100;4;[0.312, 0.306];[0.287, 0.298];[0.289, 0.296];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.021];[0.327, 0.021];[0.341, 0.023];[0.857, 0.044];[0.822, 0.047];[0.876, 0.039];[0.924, 0.042];[0.913, 0.026];[0.878, 0.037];[0.94, 0.033];[0.988, 0.012];[0.328, 0.093];[0.312, 0.078];[0.294, 0.09];[0.915, 0.032];[0.848, 0.056];[0.988, 0.016];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.172, 0.004];[0.192, 0.019];[23.32, 0.527];[0.03, 0.0];[0.222, 0.004]
countries_s1;backward_unknown1_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_1-complex-sbr-None-1-100;4;[0.216, 0.268];[0.216, 0.27];[0.216, 0.268];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.042];[0.352, 0.034];[0.377, 0.051];[0.864, 0.032];[0.83, 0.036];[0.878, 0.037];[0.924, 0.033];[0.913, 0.017];[0.862, 0.024];[0.95, 0.023];[0.988, 0.01];[0.295, 0.067];[0.308, 0.063];[0.282, 0.072];[0.922, 0.023];[0.864, 0.043];[0.984, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.128, 0.047];[0.148, 0.056];[19.788, 1.918];[0.028, 0.004];[0.218, 0.004]
countries_s1;backward_unknown1_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_1-complex-r2n-None-1-100;4;[0.293, 0.204];[0.313, 0.207];[0.272, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.323, 0.023];[0.279, 0.037];[0.366, 0.025];[0.825, 0.017];[0.78, 0.021];[0.852, 0.029];[0.908, 0.029];[0.886, 0.01];[0.822, 0.013];[0.938, 0.015];[0.998, 0.004];[0.265, 0.046];[0.316, 0.055];[0.214, 0.037];[0.896, 0.019];[0.82, 0.022];[0.976, 0.02];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.17, 0.0];[0.194, 0.012];[20.128, 0.035];[0.03, 0.0];[0.22, 0.0]
countries_s1;backward_unknown1_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown1_1-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.084, 0.005];[0.09, 0.0];[17.712, 0.343];[0.002, 0.004];[0.184, 0.01]
