Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nations_AMIE;known;complex;100;0.5;1;sbr;[82.79195942878724, 10.76550054387597];[0.0132, 0.0003];[0.0132, 0.0003];[0.0132, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3779, 0.0109];[0.3779, 0.0109];[0.3779, 0.0109];[0.7063, 0.0103];[0.6055, 0.0118];[0.7443, 0.0152];[0.7063, 0.0103];[0.6055, 0.0118];[0.7443, 0.0152]
nations_AMIE;known;complex;100;0.5;1;gsbr;[91.92959508895873, 11.315281461209262];[0.0132, 0.0003];[0.0132, 0.0003];[0.0132, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3775, 0.0109];[0.3775, 0.0109];[0.3775, 0.0109];[0.7051, 0.0112];[0.6035, 0.0132];[0.7438, 0.0142];[0.7048, 0.0114];[0.603, 0.0137];[0.7438, 0.0142]
nations_AMIE;known;complex;100;0.5;1;cdcr;[215.98880891799928, 2.8563585741980217];[0.1567, 0.0022];[0.0149, 0.0013];[0.017, 0.0029];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5156, 0.0111];[0.376, 0.0114];[0.3738, 0.0109];[0.7026, 0.0105];[0.6, 0.0135];[0.7403, 0.0176];[0.7029, 0.0108];[0.6, 0.0135];[0.7398, 0.0167]
nations_AMIE;known;complex;100;0.5;1;no_reasoner;[64.73546228408813, 13.802775730891495];[2.5774, 0.0002];[0.0131, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.738, 0.0062];[0.3742, 0.0124];[1.1018, 0.0];[0.7085, 0.0094];[0.6095, 0.0132];[0.7373, 0.0175];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_AMIE;backward_2;complex;100;0.5;1;rnm;[86.7335156917572, 15.052779680542907];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_2;complex;100;0.5;1;dcr;[162.91349725723268, 16.757884675042366];[0.1534, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5171, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_2;complex;100;0.5;1;r2n;[106.30929641723633, 17.43702735834668];[0.0144, 0.0003];[0.0131, 0.0003];[0.0156, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3705, 0.01];[0.3766, 0.0101];[0.3644, 0.01];[0.7076, 0.0103];[0.6065, 0.0136];[0.7433, 0.0215];[0.7061, 0.0095];[0.605, 0.0142];[0.7403, 0.0123]
nations_AMIE;backward_2;complex;100;0.5;1;sbr;[81.17859082221985, 14.324229916853437];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_2;complex;100;0.5;1;gsbr;[97.68204426765442, 19.55526373952445];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_2;complex;100;0.5;1;cdcr;[214.17062788009645, 21.23530822777];[0.1534, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5171, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_2;complex;100;0.5;1;no_reasoner;[68.12655525207519, 20.52109564186487];[2.5774, 0.0002];[0.0131, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.738, 0.0062];[0.3742, 0.0124];[1.1018, 0.0];[0.7085, 0.0094];[0.6095, 0.0132];[0.7373, 0.0175];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_AMIE;backward_3;complex;100;0.5;1;rnm;[83.2176619052887, 18.267642511832637];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_3;complex;100;0.5;1;dcr;[168.59240412712097, 23.434387536948336];[0.1534, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5171, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_3;complex;100;0.5;1;r2n;[103.85105471611023, 23.078700114677194];[0.0144, 0.0003];[0.0131, 0.0003];[0.0156, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3705, 0.01];[0.3766, 0.0101];[0.3644, 0.01];[0.7076, 0.0103];[0.6065, 0.0136];[0.7433, 0.0215];[0.7061, 0.0095];[0.605, 0.0142];[0.7403, 0.0123]
nations_AMIE;backward_3;complex;100;0.5;1;sbr;[85.35558261871338, 23.227169495972316];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_3;complex;100;0.5;1;gsbr;[95.3486849308014, 23.47327993849409];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_3;complex;100;0.5;1;cdcr;[211.7149764060974, 28.88690020891442];[0.1534, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5171, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_AMIE;backward_3;complex;100;0.5;1;no_reasoner;[70.42577261924744, 25.644552143838677];[2.5774, 0.0002];[0.0131, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.738, 0.0062];[0.3742, 0.0124];[1.1018, 0.0];[0.7085, 0.0094];[0.6095, 0.0132];[0.7373, 0.0175];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_NCRL;backward_1;complex;100;0.5;1;rnm;[79.66232595443725, 0.5292170030124316];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3772, 0.0095];[0.3772, 0.0095];[0.3772, 0.0095];[0.7052, 0.0084];[0.6055, 0.0103];[0.7343, 0.0119];[0.7052, 0.0084];[0.6055, 0.0103];[0.7343, 0.0119]
nations_NCRL;backward_1;complex;100;0.5;1;dcr;[211.36050872802736, 29.270496683709126];[0.2173, 0.0009];[0.0153, 0.0005];[0.0196, 0.0016];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5749, 0.0098];[0.3749, 0.0102];[0.3753, 0.0096];[0.7039, 0.0134];[0.601, 0.0162];[0.7398, 0.0159];[0.7031, 0.0138];[0.5995, 0.0172];[0.7363, 0.0156]
nations_NCRL;backward_1;complex;100;0.5;1;r2n;[121.74111614227294, 29.371000577952724];[0.0144, 0.0003];[0.0135, 0.0003];[0.0153, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3698, 0.0111];[0.3759, 0.0108];[0.3638, 0.0117];[0.7028, 0.0089];[0.6015, 0.0111];[0.7323, 0.0135];[0.6994, 0.0084];[0.5965, 0.0119];[0.7348, 0.0146]
nations_NCRL;backward_1;complex;100;0.5;1;sbr;[94.90017123222351, 28.797284260881973];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3772, 0.0095];[0.3772, 0.0095];[0.3772, 0.0095];[0.7052, 0.0084];[0.6055, 0.0103];[0.7343, 0.0119];[0.7052, 0.0084];[0.6055, 0.0103];[0.7343, 0.0119]
nations_NCRL;backward_1;complex;100;0.5;1;gsbr;[107.95622658729553, 30.068741043015716];[0.0132, 0.0005];[0.0132, 0.0004];[0.0132, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3777, 0.0094];[0.3772, 0.0093];[0.3783, 0.0095];[0.7031, 0.0066];[0.6015, 0.0079];[0.7358, 0.0111];[0.703, 0.0065];[0.6015, 0.0079];[0.7343, 0.0109]
nations_NCRL;backward_1;complex;100;0.5;1;cdcr;[273.44867577552793, 35.346273356876424];[0.2421, 0.0056];[0.026, 0.0035];[0.0537, 0.0072];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0008];[0.9976, 0.0022];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5698, 0.0087];[0.3679, 0.01];[0.3672, 0.0081];[0.7048, 0.0096];[0.604, 0.0113];[0.7363, 0.0155];[0.7066, 0.0105];[0.6065, 0.0113];[0.7403, 0.0154]
nations_NCRL;backward_1;complex;100;0.5;1;no_reasoner;[73.73177380561829, 31.720351601018];[2.5774, 0.0002];[0.0131, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.738, 0.0062];[0.3742, 0.0124];[1.1018, 0.0];[0.7085, 0.0094];[0.6095, 0.0132];[0.7373, 0.0175];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_NCRL;known;complex;100;0.5;1;rnm;[80.51051869392396, 1.5100375701351898];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_NCRL;known;complex;100;0.5;1;dcr;[218.08731799125673, 37.865398791164544];[0.211, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5746, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
nations_NCRL;known;complex;100;0.5;1;r2n;[124.18856430053711, 35.19530581434087];[0.0144, 0.0003];[0.0131, 0.0003];[0.0156, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3705, 0.01];[0.3766, 0.0101];[0.3644, 0.01];[0.7076, 0.0103];[0.6065, 0.0136];[0.7433, 0.0215];[0.7061, 0.0095];[0.605, 0.0142];[0.7403, 0.0123]
nations_NCRL;known;complex;100;0.5;1;sbr;[79.82577447891235, 0.6226555122854733];[0.0131, 0.0003];[0.0131, 0.0003];[0.0131, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3768, 0.01];[0.3768, 0.01];[0.3768, 0.01];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208];[0.7076, 0.0104];[0.607, 0.0136];[0.7428, 0.0208]
