Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nations;backward_2;complex;amie;100;0.5;1;no_reasoner;[78.75961437225342, 1.6886316381714614];[2.5775, 0.0001];[0.0133, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.75, 0.0093];[0.3982, 0.0186];[1.1018, 0.0];[0.6822, 0.0117];[0.5786, 0.0122];[0.7119, 0.0196];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;backward_2;complex;amie;100;0.5;1;dcr;[427.5876043319702, 6.36442376271557];[0.3931, 0.0008];[0.0152, 0.0007];[0.0446, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7355, 0.0172];[0.3779, 0.0175];[0.3666, 0.0174];[0.6869, 0.011];[0.5841, 0.0149];[0.7149, 0.0137];[0.6899, 0.0109];[0.5871, 0.0137];[0.7219, 0.0147]
nations;backward_2;complex;amie;100;0.5;1;r2n;[233.3249207496643, 6.4313311820445485];[0.0151, 0.0003];[0.0153, 0.0006];[0.0149, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3953, 0.0212];[0.3732, 0.0202];[0.4173, 0.0231];[0.6863, 0.0104];[0.5816, 0.0129];[0.7199, 0.0131];[0.6845, 0.01];[0.5831, 0.0133];[0.7159, 0.0167]
nations;backward_2;complex;amie;100;0.5;1;gsbr;[189.36673669815065, 6.257686275019483];[0.0137, 0.0002];[0.0137, 0.0003];[0.0136, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3843, 0.0179];[0.3862, 0.0182];[0.3824, 0.0175];[0.6844, 0.0106];[0.5791, 0.0131];[0.7169, 0.0174];[0.6863, 0.0088];[0.5816, 0.0134];[0.7204, 0.0144]
nations;backward_3;complex;amie;100;0.5;1;no_reasoner;[85.22691178321838, 9.985128293092373];[2.5775, 0.0001];[0.0133, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.75, 0.0093];[0.3982, 0.0186];[1.1018, 0.0];[0.6822, 0.0117];[0.5786, 0.0122];[0.7119, 0.0196];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;backward_3;complex;amie;100;0.5;1;dcr;[443.16590213775635, 10.833965810289659];[0.3931, 0.0007];[0.0149, 0.0004];[0.0444, 0.0007];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7296, 0.0169];[0.3717, 0.0172];[0.3608, 0.017];[0.6923, 0.015];[0.5896, 0.013];[0.7294, 0.0272];[0.691, 0.0144];[0.5866, 0.0122];[0.7318, 0.0263]
nations;backward_3;complex;amie;100;0.5;1;r2n;[245.69767656326295, 12.73157781231614];[0.0152, 0.0004];[0.0153, 0.0004];[0.0151, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0001];[0.9999, 0.0003];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3952, 0.0133];[0.374, 0.0138];[0.4163, 0.0133];[0.6902, 0.009];[0.5866, 0.0066];[0.7269, 0.0179];[0.6835, 0.0053];[0.5821, 0.0035];[0.7134, 0.0109]
nations;backward_3;complex;amie;100;0.5;1;gsbr;[188.04589409828185, 17.592825632547658];[0.0137, 0.0003];[0.0137, 0.0003];[0.0137, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3794, 0.0166];[0.3809, 0.0164];[0.3779, 0.0168];[0.6873, 0.0148];[0.5821, 0.0134];[0.7209, 0.0215];[0.6853, 0.0158];[0.5781, 0.0146];[0.7214, 0.0225]
nations;domainbody;complex;amie;100;0.5;1;no_reasoner;[80.67036285400391, 14.468256127470763];[2.5775, 0.0001];[0.0133, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.75, 0.0093];[0.3982, 0.0186];[1.1018, 0.0];[0.6822, 0.0117];[0.5786, 0.0122];[0.7119, 0.0196];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;domainbody;complex;amie;100;0.5;1;dcr;[448.24136023521424, 15.032363385000581];[0.3749, 0.0004];[0.0134, 0.0002];[0.0156, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7457, 0.0197];[0.3889, 0.0197];[0.3815, 0.0195];[0.6833, 0.0087];[0.5786, 0.0081];[0.7119, 0.0139];[0.6802, 0.0088];[0.5756, 0.0078];[0.7114, 0.0133]
nations;domainbody;complex;amie;100;0.5;1;r2n;[222.37680344581605, 22.104429497864583];[0.0147, 0.0001];[0.0134, 0.0002];[0.016, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3884, 0.0158];[0.3952, 0.0165];[0.3816, 0.0151];[0.6836, 0.0065];[0.5806, 0.0043];[0.7119, 0.0152];[0.6814, 0.0039];[0.5776, 0.0051];[0.7174, 0.0134]
nations;domainbody;complex;amie;100;0.5;1;gsbr;[184.2248544216156, 26.80209708135488];[0.0133, 0.0002];[0.0133, 0.0002];[0.0133, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3937, 0.0172];[0.3941, 0.0172];[0.3933, 0.0172];[0.6838, 0.0074];[0.5806, 0.0062];[0.7129, 0.0176];[0.6844, 0.0072];[0.5821, 0.0057];[0.7124, 0.0171]
nations;backward_2;complex;amie;100;0.5;1;cdcr;[573.8481142997741, 11.062544998489699];[0.4228, 0.0015];[0.0249, 0.0013];[0.1011, 0.0031];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9991, 0.0006];[0.9981, 0.0012];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7237, 0.0145];[0.3615, 0.0145];[0.3664, 0.0145];[0.6894, 0.0139];[0.5846, 0.0128];[0.7219, 0.0247];[0.69, 0.0136];[0.5851, 0.0133];[0.7259, 0.0195]
nations;backward_3;complex;amie;100;0.5;1;cdcr;[597.83802485466, 20.133970649657886];[0.4278, 0.0052];[0.0237, 0.0009];[0.1124, 0.0108];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9969, 0.0025];[0.994, 0.005];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7289, 0.0142];[0.3636, 0.0151];[0.3747, 0.0142];[0.6855, 0.0094];[0.5801, 0.0073];[0.7229, 0.0168];[0.6799, 0.0087];[0.5721, 0.0079];[0.7194, 0.0137]
nations;domainbody;complex;amie;100;0.5;1;cdcr;[598.0521394252777, 8.476631041816646];[0.3799, 0.0043];[0.0141, 0.0006];[0.0245, 0.0077];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7369, 0.0123];[0.3817, 0.0131];[0.3709, 0.0114];[0.6837, 0.0126];[0.5806, 0.0117];[0.7149, 0.0264];[0.685, 0.0127];[0.5811, 0.0132];[0.7184, 0.024]
nations;full;complex;amie;100;0.5;1;no_reasoner;[80.63459167480468, 1.1988493894493066];[2.5775, 0.0001];[0.0133, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7471, 0.0038];[0.3925, 0.0075];[1.1018, 0.0];[0.6816, 0.0077];[0.5756, 0.0064];[0.7149, 0.0139];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;full;complex;amie;100;0.5;1;dcr;[434.8013298511505, 12.543238938444755];[0.3895, 0.0008];[0.0157, 0.0004];[0.0436, 0.0015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7294, 0.0098];[0.3748, 0.009];[0.3644, 0.0107];[0.6855, 0.0087];[0.5811, 0.0064];[0.7159, 0.0245];[0.6868, 0.0076];[0.5821, 0.0052];[0.7224, 0.0303]
nations;full;complex;amie;100;0.5;1;r2n;[245.95534830093385, 8.213979701039204];[0.0159, 0.0007];[0.0163, 0.0006];[0.0156, 0.0009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0003];[0.9997, 0.0005];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4055, 0.0079];[0.3678, 0.0105];[0.4433, 0.0089];[0.6863, 0.0099];[0.5816, 0.0095];[0.7164, 0.016];[0.684, 0.0094];[0.5791, 0.0113];[0.7249, 0.0147]
nations;full;complex;amie;100;0.5;1;gsbr;[187.1899943828583, 6.9449779493613555];[0.0139, 0.0002];[0.0139, 0.0003];[0.0139, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3728, 0.0076];[0.3755, 0.0069];[0.3701, 0.0083];[0.6833, 0.0062];[0.5756, 0.0056];[0.7164, 0.0212];[0.6874, 0.006];[0.5796, 0.0059];[0.7229, 0.0207]
