Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_S1_p;domainbody;transe;100;0.5;1;no_reasoner;[23.683077335357666, 1.7329887118229268];[3.3469, 0.0019];[1.5521, 0.0039];[5.1416, 0.0];[0.6077, 0.0082];[0.3286, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9144, 0.0027];[0.4265, 0.0055];[1.4023, 0.0];[0.6428, 0.0113];[0.558, 0.0172];[0.64, 0.0167];[0.726, 0.0185];[0.948, 0.016];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;domainbody;transe;100;0.5;1;dcr;[41.4034342288971, 0.7063774047142523];[1.4544, 0.0056];[1.5503, 0.0031];[1.3508, 0.0133];[0.6074, 0.0095];[0.3268, 0.0156];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6509, 0.0195];[0.3987, 0.0366];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4281, 0.0249];[0.4247, 0.0094];[0.4237, 0.0417];[0.6454, 0.0264];[0.558, 0.0279];[0.636, 0.0535];[0.748, 0.0366];[0.95, 0.0219];[0.6687, 0.0587];[0.578, 0.0511];[0.66, 0.0802];[0.766, 0.0709];[0.956, 0.0233];[0.7134, 0.02];[0.9092, 0.0085];[0.5099, 0.0409];[0.7341, 0.0147];[0.604, 0.0196];[0.824, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7674, 0.0581];[0.656, 0.0585];[0.852, 0.0826];[1.0, 0.0];[1.0, 0.0]
train_S1_p;domainbody;transe;100;0.5;1;r2n;[44.64715723991394, 1.198199831527011];[1.496, 0.0013];[1.5503, 0.0031];[1.4417, 0.0023];[0.6074, 0.0095];[0.3268, 0.0156];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6119, 0.0099];[0.3355, 0.0173];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.409, 0.0077];[0.4247, 0.0094];[0.3933, 0.0071];[0.6454, 0.0264];[0.558, 0.0279];[0.636, 0.0535];[0.748, 0.0366];[0.95, 0.0219];[0.6492, 0.0123];[0.56, 0.0089];[0.65, 0.0253];[0.754, 0.0383];[0.96, 0.0179];[0.8803, 0.0069];[0.9092, 0.0085];[0.8515, 0.0062];[0.7341, 0.0147];[0.604, 0.0196];[0.824, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7408, 0.0107];[0.62, 0.0283];[0.808, 0.016];[1.0, 0.0];[1.0, 0.0]
train_S1_p;domainbody;transe;100;0.5;1;sbr;[27.786730146408082, 3.717869455926423];[1.5334, 0.0042];[1.5503, 0.0031];[1.5164, 0.0052];[0.6074, 0.0095];[0.3268, 0.0156];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6068, 0.0069];[0.3274, 0.0105];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4106, 0.0097];[0.4247, 0.0094];[0.3966, 0.0101];[0.6454, 0.0264];[0.558, 0.0279];[0.636, 0.0535];[0.748, 0.0366];[0.95, 0.0219];[0.6515, 0.0278];[0.562, 0.0319];[0.642, 0.0483];[0.742, 0.0431];[0.96, 0.019];[0.8571, 0.0064];[0.9092, 0.0085];[0.805, 0.0046];[0.7341, 0.0147];[0.604, 0.0196];[0.824, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7337, 0.0184];[0.604, 0.0294];[0.812, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;domainbody;transe;100;0.5;1;rnm;[25.984719133377077, 0.794388494542248];[1.5391, 0.004];[1.5503, 0.0031];[1.5279, 0.0049];[0.6074, 0.0095];[0.3268, 0.0156];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0069];[0.3279, 0.0112];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.0095];[0.4247, 0.0094];[0.4053, 0.0097];[0.6454, 0.0264];[0.558, 0.0279];[0.636, 0.0535];[0.748, 0.0366];[0.95, 0.0219];[0.6484, 0.0284];[0.562, 0.0319];[0.636, 0.045];[0.73, 0.0395];[0.962, 0.0232];[0.8751, 0.0071];[0.9092, 0.0085];[0.841, 0.0059];[0.7341, 0.0147];[0.604, 0.0196];[0.824, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7491, 0.0219];[0.624, 0.0265];[0.82, 0.0283];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;no_reasoner;[28.28896870613098, 1.6313267049893474];[2.5768, 0.0001];[0.012, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.886, 0.012];[0.3698, 0.0241];[1.4023, 0.0];[0.9247, 0.0081];[0.886, 0.015];[0.958, 0.004];[0.966, 0.0102];[0.998, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7355, 0.0442];[0.3861, 0.0885];[3.085, 0.0];[0.9215, 0.0099];[0.88, 0.0126];[0.944, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;dcr;[34.584191942214964, 1.1319689823121977];[0.0168, 0.0002];[0.0121, 0.0002];[0.0139, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3764, 0.0266];[0.3733, 0.0269];[0.372, 0.0265];[0.9275, 0.008];[0.888, 0.0172];[0.96, 0.0063];[0.966, 0.0102];[0.998, 0.004];[0.9278, 0.0083];[0.888, 0.0172];[0.96, 0.0063];[0.968, 0.0117];[0.99, 0.011];[0.3871, 0.084];[0.3865, 0.087];[0.3803, 0.0811];[0.9223, 0.0097];[0.884, 0.015];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9206, 0.011];[0.884, 0.015];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;r2n;[34.98005800247192, 1.1150719873898212];[0.0133, 0.0002];[0.0121, 0.0002];[0.0144, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3553, 0.0232];[0.3541, 0.0238];[0.3564, 0.0228];[0.9342, 0.0055];[0.902, 0.0133];[0.96, 0.0126];[0.966, 0.0136];[0.998, 0.004];[0.9344, 0.0057];[0.902, 0.0133];[0.96, 0.0126];[0.966, 0.0136];[0.998, 0.004];[0.3701, 0.0841];[0.3717, 0.0859];[0.3685, 0.0824];[0.923, 0.0148];[0.884, 0.0233];[0.936, 0.0196];[1.0, 0.0];[1.0, 0.0];[0.9224, 0.0153];[0.884, 0.0233];[0.936, 0.0196];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;sbr;[29.935028791427612, 1.9632097635009147];[0.0178, 0.0009];[0.0147, 0.0006];[0.0209, 0.0011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2659, 0.0226];[0.2492, 0.0245];[0.2826, 0.0215];[0.9421, 0.0108];[0.916, 0.0224];[0.96, 0.0141];[0.97, 0.0167];[0.998, 0.004];[0.9551, 0.0088];[0.928, 0.0147];[0.98, 0.0];[0.996, 0.0049];[1.0, 0.0];[0.2891, 0.0758];[0.2808, 0.0859];[0.2975, 0.0679];[0.9379, 0.0145];[0.912, 0.0204];[0.948, 0.0271];[1.0, 0.0];[1.0, 0.0];[0.9617, 0.0184];[0.94, 0.0335];[0.98, 0.0];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;rnm;[30.75679769515991, 3.362301013334499];[0.013, 0.0004];[0.0121, 0.0002];[0.0138, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3367, 0.0274];[0.3426, 0.0281];[0.3309, 0.0272];[0.9191, 0.0108];[0.878, 0.0172];[0.954, 0.012];[0.968, 0.0133];[0.998, 0.004];[0.9219, 0.0109];[0.878, 0.0172];[0.954, 0.012];[0.99, 0.0063];[1.0, 0.0];[0.3343, 0.0785];[0.3619, 0.0959];[0.3068, 0.062];[0.9272, 0.015];[0.892, 0.0204];[0.936, 0.0196];[1.0, 0.0];[1.0, 0.0];[0.9317, 0.0138];[0.892, 0.0204];[0.964, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;no_reasoner;[25.089077043533326, 1.449886009254306];[2.5769, 0.0001];[0.0121, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8578, 0.0091];[0.3134, 0.0182];[1.4023, 0.0];[0.9284, 0.0056];[0.894, 0.0136];[0.954, 0.0136];[0.966, 0.012];[0.998, 0.004];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7245, 0.0361];[0.364, 0.0722];[3.085, 0.0];[0.9237, 0.0121];[0.892, 0.016];[0.932, 0.0271];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;dcr;[32.74215445518494, 4.737935704072546];[0.017, 0.0003];[0.0123, 0.0001];[0.0141, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3173, 0.0204];[0.314, 0.0209];[0.313, 0.0198];[0.9291, 0.0064];[0.896, 0.008];[0.948, 0.004];[0.968, 0.0147];[0.998, 0.004];[0.9294, 0.0063];[0.896, 0.008];[0.948, 0.004];[0.972, 0.0147];[0.992, 0.0117];[0.3501, 0.0642];[0.3492, 0.0673];[0.3433, 0.0612];[0.9151, 0.0042];[0.876, 0.008];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9141, 0.0047];[0.876, 0.008];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;r2n;[31.604430675506592, 1.1708098808189353];[0.0134, 0.0001];[0.0123, 0.0001];[0.0145, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3082, 0.0171];[0.3021, 0.0238];[0.3143, 0.0138];[0.9305, 0.0078];[0.898, 0.0147];[0.954, 0.008];[0.968, 0.0147];[0.998, 0.004];[0.9328, 0.0088];[0.902, 0.0172];[0.956, 0.0049];[0.97, 0.0126];[0.998, 0.004];[0.3658, 0.0647];[0.3501, 0.0735];[0.3816, 0.0736];[0.912, 0.0132];[0.872, 0.0204];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9127, 0.0112];[0.872, 0.0204];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;sbr;[26.23204140663147, 2.5574336922176175];[0.0225, 0.0035];[0.0176, 0.0025];[0.0273, 0.0046];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2196, 0.0129];[0.2075, 0.0147];[0.2317, 0.0122];[0.9371, 0.0065];[0.904, 0.0102];[0.96, 0.011];[0.972, 0.0117];[1.0, 0.0];[0.946, 0.0142];[0.914, 0.0258];[0.98, 0.011];[0.992, 0.0075];[1.0, 0.0];[0.2483, 0.0558];[0.2505, 0.0714];[0.2462, 0.0428];[0.9371, 0.0103];[0.904, 0.015];[0.956, 0.0196];[1.0, 0.0];[1.0, 0.0];[0.9522, 0.0203];[0.928, 0.0299];[0.972, 0.016];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;rnm;[26.952707958221435, 1.8172684969732058];[0.0137, 0.0002];[0.0123, 0.0001];[0.0152, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2584, 0.025];[0.2622, 0.0258];[0.2546, 0.0248];[0.9305, 0.0105];[0.896, 0.0206];[0.956, 0.008];[0.968, 0.0098];[1.0, 0.0];[0.9332, 0.0107];[0.896, 0.0206];[0.962, 0.0075];[0.99, 0.0089];[1.0, 0.0];[0.2966, 0.0547];[0.318, 0.0696];[0.2751, 0.0421];[0.9164, 0.008];[0.876, 0.015];[0.94, 0.0335];[1.0, 0.0];[1.0, 0.0];[0.9205, 0.0074];[0.876, 0.015];[0.968, 0.0271];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;100;0.5;1;no_reasoner;[24.331309509277343, 2.003406035908735];[3.3469, 0.0019];[1.5521, 0.0039];[5.1416, 0.0];[0.6077, 0.0082];[0.3286, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9144, 0.0027];[0.4265, 0.0055];[1.4023, 0.0];[0.6428, 0.0113];[0.558, 0.0172];[0.64, 0.0167];[0.726, 0.0185];[0.948, 0.016];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[2.0006, 0.0117];[0.9162, 0.0233];[3.085, 0.0];[0.7293, 0.0385];[0.58, 0.0537];[0.844, 0.0445];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;100;0.5;1;dcr;[30.245567560195923, 2.0259030494826664];[1.4413, 0.008];[1.5547, 0.0025];[1.3201, 0.0145];[0.6032, 0.0105];[0.3216, 0.0165];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6622, 0.0094];[0.4207, 0.0159];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4171, 0.0151];[0.4272, 0.0057];[0.3992, 0.0274];[0.6373, 0.0091];[0.548, 0.0117];[0.634, 0.0307];[0.738, 0.0248];[0.938, 0.0214];[0.6883, 0.0119];[0.604, 0.0196];[0.704, 0.0206];[0.78, 0.0228];[0.954, 0.0224];[0.7056, 0.018];[0.9092, 0.0085];[0.4942, 0.0385];[0.7341, 0.0147];[0.604, 0.0196];[0.824, 0.032];[1.0, 0.0];[1.0, 0.0];[0.8041, 0.0177];[0.7, 0.0283];[0.896, 0.0294];[1.0, 0.0];[1.0, 0.0]
