seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;batch_size;val_batch_size;test_batch_size;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-no_reasoner-None-1-100;4;[0.047, 0.129];[0.047, 0.129];[0.047, 0.129];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.405, 0.052];[0.405, 0.052];[0.405, 0.052];[0.9, 0.012];[0.879, 0.014];[0.912, 0.014];[0.9, 0.012];[0.879, 0.014];[0.912, 0.014];[0.419, 0.13];[0.419, 0.13];[0.419, 0.13];[0.918, 0.024];[0.874, 0.035];[0.942, 0.023];[0.918, 0.024];[0.874, 0.035];[0.942, 0.023];[16.023, 1.081]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-sbr-None-1-100;4;[0.199, 0.242];[0.199, 0.243];[0.199, 0.241];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.042];[0.351, 0.036];[0.37, 0.048];[0.864, 0.03];[0.834, 0.034];[0.88, 0.028];[0.891, 0.021];[0.846, 0.026];[0.927, 0.033];[0.315, 0.054];[0.341, 0.048];[0.288, 0.063];[0.904, 0.037];[0.844, 0.056];[0.948, 0.029];[0.982, 0.007];[0.966, 0.013];[0.998, 0.006];[17.313, 1.119]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-rnm-None-1-100;4;[0.031, 0.065];[0.031, 0.065];[0.032, 0.065];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.399, 0.059];[0.399, 0.059];[0.398, 0.058];[0.898, 0.013];[0.876, 0.012];[0.912, 0.02];[0.898, 0.013];[0.876, 0.012];[0.912, 0.02];[0.35, 0.07];[0.385, 0.089];[0.314, 0.053];[0.913, 0.026];[0.864, 0.036];[0.942, 0.024];[0.917, 0.025];[0.864, 0.036];[0.97, 0.02];[17.3, 1.223]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-dcr-None-1-100;4;[0.116, 0.153];[0.091, 0.149];[0.098, 0.145];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.039];[0.337, 0.04];[0.354, 0.051];[0.887, 0.01];[0.862, 0.016];[0.906, 0.016];[0.899, 0.014];[0.861, 0.02];[0.926, 0.019];[0.307, 0.057];[0.314, 0.066];[0.255, 0.051];[0.918, 0.023];[0.872, 0.029];[0.952, 0.027];[0.988, 0.01];[0.976, 0.02];[1.0, 0.0];[22.514, 1.331]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_3;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-r2n-None-1-100;4;[0.295, 0.154];[0.318, 0.164];[0.272, 0.144];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.403, 0.038];[0.307, 0.04];[0.499, 0.083];[0.812, 0.042];[0.765, 0.056];[0.834, 0.038];[0.858, 0.022];[0.803, 0.035];[0.901, 0.023];[0.324, 0.099];[0.364, 0.09];[0.285, 0.108];[0.891, 0.026];[0.828, 0.043];[0.936, 0.038];[0.958, 0.022];[0.946, 0.028];[0.95, 0.034];[18.738, 1.605]
[0, 1, 2, 3, 4];no_reasoner;pharmkg_small;backward_1;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_1-complex-no_reasoner-amie-1-100;4;[0.343, 0.037];[0.343, 0.037];[0.343, 0.037];[0.959, 0.005];[0.921, 0.01];[1.0, 0.0];[0.959, 0.005];[0.921, 0.01];[1.0, 0.0];[0.234, 0.028];[0.234, 0.028];[0.234, 0.028];[0.609, 0.008];[0.56, 0.008];[0.603, 0.01];[0.609, 0.008];[0.56, 0.008];[0.603, 0.01];[0.177, 0.021];[0.177, 0.021];[0.177, 0.021];[0.615, 0.002];[0.555, 0.004];[0.621, 0.005];[0.615, 0.002];[0.555, 0.004];[0.621, 0.005];[50.878, 0.804]
[0, 1, 2, 3, 4];sbr;pharmkg_small;backward_1;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_1-complex-sbr-amie-1-100;4;[0.373, 0.048];[0.365, 0.047];[0.38, 0.048];[0.95, 0.005];[0.903, 0.009];[1.0, 0.0];[0.954, 0.004];[0.91, 0.009];[1.0, 0.0];[0.234, 0.036];[0.226, 0.037];[0.242, 0.034];[0.612, 0.006];[0.562, 0.005];[0.602, 0.008];[0.626, 0.004];[0.575, 0.005];[0.62, 0.007];[0.177, 0.028];[0.172, 0.028];[0.182, 0.027];[0.615, 0.004];[0.553, 0.004];[0.617, 0.007];[0.621, 0.006];[0.558, 0.008];[0.623, 0.006];[175.305, 1.383]
[0, 1, 2, 3, 4];rnm;pharmkg_small;backward_1;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_1-complex-rnm-amie-1-100;4;[0.395, 0.037];[0.394, 0.037];[0.396, 0.036];[0.954, 0.004];[0.91, 0.009];[1.0, 0.0];[0.954, 0.004];[0.91, 0.009];[1.0, 0.0];[0.262, 0.022];[0.262, 0.022];[0.263, 0.022];[0.612, 0.005];[0.563, 0.005];[0.604, 0.007];[0.612, 0.005];[0.563, 0.005];[0.604, 0.007];[0.199, 0.017];[0.199, 0.017];[0.199, 0.017];[0.614, 0.003];[0.554, 0.004];[0.618, 0.008];[0.614, 0.003];[0.554, 0.004];[0.618, 0.007];[188.289, 2.65]
[0, 1, 2, 3, 4];dcr;pharmkg_small;backward_1;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_1-complex-dcr-amie-1-100;4;[1.343, 0.044];[1.008, 0.035];[1.295, 0.097];[0.95, 0.003];[0.901, 0.006];[1.0, 0.0];[0.93, 0.004];[0.863, 0.007];[1.0, 0.0];[1.086, 0.046];[0.792, 0.042];[0.964, 0.078];[0.625, 0.006];[0.574, 0.005];[0.62, 0.008];[0.639, 0.004];[0.588, 0.004];[0.636, 0.004];[0.853, 0.064];[0.587, 0.032];[0.682, 0.055];[0.623, 0.005];[0.559, 0.006];[0.627, 0.004];[0.632, 0.004];[0.568, 0.005];[0.638, 0.003];[749.338, 8.45]
[0, 1, 2, 3, 4];r2n;pharmkg_small;backward_1;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_1-complex-r2n-amie-1-100;4;[0.174, 0.018];[0.257, 0.026];[0.092, 0.009];[0.967, 0.006];[0.937, 0.012];[1.0, 0.0];[0.999, 0.0];[0.998, 0.0];[1.0, 0.0];[0.123, 0.008];[0.122, 0.008];[0.124, 0.009];[0.604, 0.004];[0.556, 0.004];[0.597, 0.006];[0.605, 0.004];[0.557, 0.004];[0.598, 0.005];[0.094, 0.007];[0.093, 0.006];[0.095, 0.007];[0.61, 0.002];[0.55, 0.004];[0.613, 0.005];[0.61, 0.003];[0.55, 0.005];[0.613, 0.005];[434.478, 10.378]
[0, 1, 2, 3, 4];no_reasoner;pharmkg_small;backward_2;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_2-complex-no_reasoner-amie-1-100;4;[0.394, 0.037];[0.394, 0.037];[0.394, 0.037];[0.954, 0.004];[0.91, 0.009];[1.0, 0.0];[0.954, 0.004];[0.91, 0.009];[1.0, 0.0];[0.262, 0.022];[0.262, 0.022];[0.262, 0.022];[0.612, 0.005];[0.564, 0.005];[0.604, 0.007];[0.612, 0.005];[0.564, 0.005];[0.604, 0.007];[0.199, 0.017];[0.199, 0.017];[0.199, 0.017];[0.614, 0.003];[0.553, 0.004];[0.618, 0.007];[0.614, 0.003];[0.553, 0.004];[0.618, 0.007];[52.339, 9.996]
[0, 1, 2, 3, 4];sbr;pharmkg_small;backward_2;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_2-complex-sbr-amie-1-100;4;[0.339, 0.069];[0.324, 0.072];[0.354, 0.066];[0.958, 0.014];[0.917, 0.027];[1.0, 0.0];[0.959, 0.013];[0.919, 0.025];[1.0, 0.0];[0.205, 0.045];[0.193, 0.047];[0.218, 0.043];[0.614, 0.004];[0.564, 0.003];[0.608, 0.005];[0.627, 0.003];[0.575, 0.004];[0.624, 0.004];[0.156, 0.033];[0.147, 0.034];[0.164, 0.032];[0.614, 0.004];[0.553, 0.003];[0.616, 0.008];[0.62, 0.004];[0.557, 0.003];[0.626, 0.005];[628.439, 20.513]
[0, 1, 2, 3, 4];rnm;pharmkg_small;backward_2;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_2-complex-rnm-amie-1-100;4;[0.387, 0.052];[0.385, 0.054];[0.39, 0.05];[0.955, 0.006];[0.912, 0.013];[1.0, 0.0];[0.955, 0.006];[0.912, 0.012];[1.0, 0.0];[0.257, 0.032];[0.255, 0.033];[0.258, 0.031];[0.612, 0.005];[0.564, 0.004];[0.604, 0.008];[0.612, 0.005];[0.564, 0.004];[0.604, 0.008];[0.195, 0.025];[0.194, 0.025];[0.196, 0.024];[0.614, 0.003];[0.554, 0.003];[0.618, 0.007];[0.614, 0.003];[0.554, 0.003];[0.618, 0.007];[659.644, 43.778]
[0, 1, 2, 3, 4];dcr;pharmkg_small;backward_2;complex;amie;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_2-complex-dcr-amie-1-100;4;[1.524, 0.015];[1.118, 0.051];[1.513, 0.098];[0.956, 0.002];[0.914, 0.005];[1.0, 0.0];[0.933, 0.005];[0.869, 0.01];[1.0, 0.0];[1.24, 0.014];[0.881, 0.036];[1.111, 0.068];[0.618, 0.008];[0.568, 0.007];[0.611, 0.011];[0.63, 0.007];[0.578, 0.008];[0.626, 0.007];[0.992, 0.023];[0.656, 0.027];[0.804, 0.052];[0.615, 0.004];[0.553, 0.002];[0.618, 0.007];[0.621, 0.005];[0.557, 0.005];[0.625, 0.007];[1696.883, 49.616]
