Assuming 9 as type relation
Loading files... 
  Starting train_umls.tsv
  Finished train_umls.tsv, still running: 0
Loaded 1959 facts in 32 ms using -4 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  precedes  ?a   => ?a  affects  ?b	0.013605442	0.235294118	0.235294118	4	17	17	-1
?b  degree_of  ?a   => ?a  affects  ?b	0.010204082	0.2	0.2	3	15	15	-1
?b  isa  ?a   => ?a  affects  ?b	0.017006803	0.034482759	0.12195122	5	145	41	-1
?a  result_of  ?b   => ?a  affects  ?b	0.071428571	0.111702128	0.152173913	21	188	138	-1
?a  complicates  ?b   => ?a  affects  ?b	0.057823129	0.236111111	0.242857143	17	72	70	-1
?a  measures  ?b   => ?a  affects  ?b	0.017006803	0.079365079	0.147058824	5	63	34	-1
?a  process_of  ?b   => ?a  affects  ?b	0.112244898	0.282051282	0.282051282	33	117	117	-1
?a  diagnoses  ?b   => ?a  affects  ?b	0.010204082	0.214285714	0.333333333	3	14	9	-1
?b  degree_of  ?a   => ?a  result_of  ?b	0.042553191	0.533333333	0.533333333	8	15	15	-1
?b  associated_with  ?a   => ?a  result_of  ?b	0.053191489	0.128205128	0.163934426	10	78	61	-1
?b  process_of  ?a   => ?a  result_of  ?b	0.085106383	0.136752137	0.307692308	16	117	52	-1
?b  manifestation_of  ?a   => ?a  result_of  ?b	0.063829787	0.19047619	0.19047619	12	63	63	-1
?b  affects  ?a   => ?a  result_of  ?b	0.196808511	0.12585034	0.18226601	37	294	203	-1
?b  result_of  ?a   => ?a  result_of  ?b	0.212765957	0.212765957	0.240963855	40	188	166	-1
?b  measures  ?a   => ?a  result_of  ?b	0.015957447	0.047619048	0.142857143	3	63	21	-1
?b  occurs_in  ?a   => ?a  result_of  ?b	0.037234043	0.225806452	0.7	7	31	10	-1
?a  co-occurs_with  ?b   => ?a  result_of  ?b	0.037234043	0.466666667	0.466666667	7	15	15	-1
?b  co-occurs_with  ?a   => ?a  result_of  ?b	0.021276596	0.266666667	0.266666667	4	15	15	-1
?a  associated_with  ?b   => ?a  affects  ?b	0.017006803	0.064102564	0.131578947	5	78	38	-1
?a  process_of  ?b   => ?a  result_of  ?b	0.106382979	0.170940171	0.170940171	20	117	117	-1
?a  affects  ?b   => ?a  result_of  ?b	0.111702128	0.071428571	0.134615385	21	294	156	-1
?a  manifestation_of  ?b   => ?a  affects  ?b	0.034013605	0.158730159	0.243902439	10	63	41	-1
?a  location_of  ?b   => ?a  result_of  ?b	0.010638298	0.017857143	0.166666667	2	112	12	-1
?b  isa  ?a   => ?a  result_of  ?b	0.021276596	0.027586207	0.181818182	4	145	22	-1
?a  degree_of  ?b   => ?a  result_of  ?b	0.021276596	0.266666667	0.266666667	4	15	15	-1
?a  precedes  ?b   => ?a  result_of  ?b	0.031914894	0.352941176	0.352941176	6	17	17	-1
?a  prevents  ?b   => ?a  affects  ?b	0.013605442	0.307692308	0.444444444	4	13	9	-1
?b  precedes  ?a   => ?a  result_of  ?b	0.015957447	0.176470588	0.176470588	3	17	17	-1
?a  part_of  ?b   => ?a  affects  ?b	0.013605442	0.051282051	0.102564103	4	78	39	-1
?a  causes  ?b   => ?a  affects  ?b	0.047619048	0.128440367	0.179487179	14	109	78	-1
?a  complicates  ?b   => ?a  result_of  ?b	0.037234043	0.097222222	0.4375	7	72	16	-1
?a  disrupts  ?b   => ?a  affects  ?b	0.017006803	0.098039216	0.108695652	5	51	46	-1
?a  occurs_in  ?b   => ?a  result_of  ?b	0.026595745	0.161290323	0.161290323	5	31	31	-1
?a  isa  ?b   => ?a  result_of  ?b	0.063829787	0.082758621	0.387096774	12	145	31	-1
?a  degree_of  ?b   => ?a  affects  ?b	0.013605442	0.266666667	0.266666667	4	15	15	-1
?a  manifestation_of  ?b   => ?a  result_of  ?b	0.079787234	0.238095238	0.277777778	15	63	54	-1
?b  associated_with  ?a   => ?a  process_of  ?b	0.017094017	0.025641026	0.25	2	78	8	-2
?b  process_of  ?a   => ?a  process_of  ?b	0.136752137	0.136752137	0.148148148	16	117	108	-2
?b  affects  ?a   => ?a  process_of  ?b	0.128205128	0.051020408	0.115384615	15	294	130	-2
?b  isa  ?a   => ?a  process_of  ?b	0.034188034	0.027586207	0.102564103	4	145	39	-2
?a  affects  ?b   => ?a  process_of  ?b	0.282051282	0.112244898	0.12406015	33	294	266	-2
?a  manifestation_of  ?b   => ?a  process_of  ?b	0.076923077	0.142857143	0.160714286	9	63	56	-2
?b  result_of  ?a   => ?a  process_of  ?b	0.136752137	0.085106383	0.16	16	188	100	-2
?a  co-occurs_with  ?b   => ?a  process_of  ?b	0.025641026	0.2	0.375	3	15	8	-2
?b  precedes  ?a   => ?a  process_of  ?b	0.034188034	0.235294118	0.25	4	17	16	-2
?a  result_of  ?b   => ?a  process_of  ?b	0.170940171	0.106382979	0.183486239	20	188	109	-2
?b  co-occurs_with  ?a   => ?a  process_of  ?b	0.017094017	0.133333333	0.181818182	2	15	11	-2
?a  precedes  ?b   => ?a  process_of  ?b	0.05982906	0.411764706	0.4375	7	17	16	-2
?a  isa  ?b   => ?a  process_of  ?b	0.042735043	0.034482759	0.2	5	145	25	-2
?b  manifestation_of  ?a   => ?a  process_of  ?b	0.025641026	0.047619048	0.142857143	3	63	21	-2
?b  complicates  ?a   => ?a  process_of  ?b	0.025641026	0.041666667	0.333333333	3	72	9	-2
?b  degree_of  ?a   => ?a  process_of  ?b	0.025641026	0.2	0.230769231	3	15	13	-2
?b  causes  ?a   => ?a  process_of  ?b	0.025641026	0.027522936	0.428571429	3	109	7	-2
?a  degree_of  ?b   => ?a  process_of  ?b	0.025641026	0.2	0.230769231	3	15	13	-2
?b  co-occurs_with  ?h  ?a  complicates  ?h   => ?a  causes  ?b	0.04587156	0.087719298	0.142857143	5	57	35	-1
?b  affects  ?a  ?b  process_of  ?a   => ?a  causes  ?b	0.018348624	0.060606061	0.666666667	2	33	3	-1
?b  complicates  ?h  ?h  part_of  ?a   => ?a  causes  ?b	0.027522936	0.028571429	0.12	3	105	25	-1
?b  complicates  ?h  ?h  location_of  ?a   => ?a  causes  ?b	0.018348624	0.031746032	0.105263158	2	63	19	-1
?b  occurs_in  ?h  ?h  process_of  ?a   => ?a  causes  ?b	0.027522936	0.06122449	0.333333333	3	49	9	-1
?a  causes  ?h  ?b  complicates  ?h   => ?a  causes  ?b	0.412844037	0.1171875	0.1171875	45	384	384	-1
?h  affects  ?a  ?b  degree_of  ?h   => ?a  causes  ?b	0.027522936	0.025	0.166666667	3	120	18	-1
?h  affects  ?a  ?b  occurs_in  ?h   => ?a  causes  ?b	0.018348624	0.032258065	0.25	2	62	8	-1
?b  degree_of  ?h  ?a  treats  ?h   => ?a  causes  ?b	0.036697248	0.266666667	0.333333333	4	15	12	-1
?h  consists_of  ?a  ?b  produces  ?h   => ?a  causes  ?b	0.027522936	0.214285714	0.214285714	3	14	14	-1
?a  disrupts  ?h  ?b  produces  ?h   => ?a  causes  ?b	0.027522936	0.5	0.6	3	6	5	-1
?a  location_of  ?h  ?b  produces  ?h   => ?a  causes  ?b	0.027522936	0.06122449	0.214285714	3	49	14	-1
?a  affects  ?b  ?b  produces  ?a   => ?a  causes  ?b	0.018348624	0.25	0.4	2	8	5	-1
?b  precedes  ?h  ?h  process_of  ?a   => ?a  causes  ?b	0.04587156	0.032894737	0.217391304	5	152	23	-1
?a  affects  ?h  ?b  occurs_in  ?h   => ?a  causes  ?b	0.137614679	0.153061224	0.277777778	15	98	54	-1
?b  co-occurs_with  ?h  ?h  part_of  ?a   => ?a  causes  ?b	0.027522936	0.076923077	0.333333333	3	39	9	-1
?a  causes  ?h  ?b  co-occurs_with  ?h   => ?a  causes  ?b	0.247706422	0.290322581	0.290322581	27	93	93	-1
?a  complicates  ?h  ?b  occurs_in  ?h   => ?a  causes  ?b	0.064220183	0.184210526	0.24137931	7	38	29	-1
?b  occurs_in  ?h  ?a  treats  ?h   => ?a  causes  ?b	0.018348624	0.153846154	0.25	2	13	8	-1
?a  complicates  ?b  ?b  produces  ?a   => ?a  causes  ?b	0.018348624	0.222222222	0.222222222	2	9	9	-1
?b  occurs_in  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.091743119	0.2	0.344827586	10	50	29	-1
?b  occurs_in  ?h  ?h  uses  ?a   => ?a  causes  ?b	0.082568807	0.214285714	0.375	9	42	24	-1
?b  degree_of  ?h  ?h  process_of  ?a   => ?a  causes  ?b	0.04587156	0.043103448	0.294117647	5	116	17	-1
?a  affects  ?h  ?b  degree_of  ?h   => ?a  causes  ?b	0.23853211	0.152046784	0.254901961	26	171	102	-1
?b  affects  ?h  ?h  location_of  ?a   => ?a  causes  ?b	0.055045872	0.139534884	0.157894737	6	43	38	-1
?a  causes  ?h  ?b  degree_of  ?h   => ?a  causes  ?b	0.256880734	0.227642276	0.227642276	28	123	123	-1
?b  degree_of  ?h  ?a  prevents  ?h   => ?a  causes  ?b	0.036697248	0.19047619	0.25	4	21	16	-1
?b  precedes  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.036697248	0.125	0.129032258	4	32	31	-1
?a  causes  ?h  ?b  occurs_in  ?h   => ?a  causes  ?b	0.302752294	0.347368421	0.347368421	33	95	95	-1
?a  complicates  ?h  ?b  precedes  ?h   => ?a  causes  ?b	0.064220183	0.137254902	0.152173913	7	51	46	-1
?a  causes  ?h  ?b  precedes  ?h   => ?a  causes  ?b	0.211009174	0.2875	0.2875	23	80	80	-1
?a  affects  ?h  ?b  precedes  ?h   => ?a  causes  ?b	0.165137615	0.095238095	0.160714286	18	189	112	-1
?b  degree_of  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.073394495	0.242424242	0.285714286	8	33	28	-1
?a  causes  ?h  ?b  conceptually_related_to  ?h   => ?a  causes  ?b	0.018348624	0.2	0.2	2	10	10	-1
?a  complicates  ?h  ?b  degree_of  ?h   => ?a  causes  ?b	0.082568807	0.169811321	0.225	9	53	40	-1
?a  associated_with  ?h  ?b  location_of  ?h   => ?a  causes  ?b	0.018348624	0.012195122	0.133333333	2	164	15	-1
?h  analyzes  ?a  ?b  result_of  ?h   => ?a  causes  ?b	0.082568807	0.209302326	0.209302326	9	43	43	-1
?h  assesses_effect_of  ?a  ?b  result_of  ?h   => ?a  causes  ?b	0.073394495	0.177777778	0.216216216	8	45	37	-1
?b  affects  ?h  ?a  interacts_with  ?h   => ?a  causes  ?b	0.04587156	0.038167939	0.11627907	5	131	43	-1
?b  precedes  ?h  ?a  prevents  ?h   => ?a  causes  ?b	0.036697248	0.333333333	0.363636364	4	12	11	-1
?h  affects  ?a  ?b  isa  ?h   => ?a  causes  ?b	0.018348624	0.009615385	0.142857143	2	208	14	-1
?a  affects  ?h  ?b  isa  ?h   => ?a  causes  ?b	0.183486239	0.083682008	0.188679245	20	239	106	-1
?a  causes  ?h  ?b  isa  ?h   => ?a  causes  ?b	0.137614679	0.333333333	0.333333333	15	45	45	-1
?a  causes  ?h  ?b  result_of  ?h   => ?a  causes  ?b	0.568807339	0.114602588	0.114602588	62	541	541	-1
?a  diagnoses  ?h  ?b  precedes  ?h   => ?a  causes  ?b	0.018348624	0.117647059	0.4	2	17	5	-1
?a  complicates  ?h  ?b  isa  ?h   => ?a  causes  ?b	0.027522936	0.157894737	0.1875	3	19	16	-1
?b  isa  ?h  ?a  treats  ?h   => ?a  causes  ?b	0.018348624	0.666666667	0.666666667	2	3	3	-1
?b  associated_with  ?h  ?h  property_of  ?a   => ?a  causes  ?b	0.027522936	0.065217391	0.1875	3	46	16	-1
?b  result_of  ?h  ?h  uses  ?a   => ?a  causes  ?b	0.055045872	0.24	0.24	6	25	25	-1
?b  affects  ?h  ?a  associated_with  ?h   => ?a  causes  ?b	0.027522936	0.007352941	0.12	3	408	25	-1
?b  isa  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.064220183	0.159090909	0.179487179	7	44	39	-1
?a  affects  ?h  ?b  result_of  ?h   => ?a  causes  ?b	0.541284404	0.062039958	0.114119923	59	951	517	-1
?a  disrupts  ?h  ?h  result_of  ?b   => ?a  causes  ?b	0.165137615	0.147540984	0.147540984	18	122	122	-1
?a  disrupts  ?h  ?b  result_of  ?h   => ?a  causes  ?b	0.174311927	0.138686131	0.138686131	19	137	137	-1
?a  complicates  ?h  ?b  result_of  ?h   => ?a  causes  ?b	0.229357798	0.083892617	0.120772947	25	298	207	-1
?a  indicates  ?h  ?b  result_of  ?h   => ?a  causes  ?b	0.018348624	0.068965517	0.222222222	2	29	9	-1
?b  isa  ?h  ?a  prevents  ?h   => ?a  causes  ?b	0.018348624	0.333333333	0.333333333	2	6	6	-1
?a  causes  ?h  ?b  process_of  ?h   => ?a  causes  ?b	0.211009174	0.130681818	0.130681818	23	176	176	-1
?h  produces  ?a  ?b  result_of  ?h   => ?a  causes  ?b	0.220183486	0.137931034	0.16	24	174	150	-1
?h  measures  ?a  ?b  result_of  ?h   => ?a  causes  ?b	0.100917431	0.120879121	0.186440678	11	91	59	-1
?a  disrupts  ?h  ?h  location_of  ?b   => ?a  causes  ?b	0.174311927	0.113095238	0.131034483	19	168	145	-1
?a  disrupts  ?h  ?b  process_of  ?h   => ?a  causes  ?b	0.064220183	0.102941176	0.102941176	7	68	68	-1
?h  complicates  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.036697248	0.210526316	0.235294118	4	19	17	-1
?a  associated_with  ?h  ?b  part_of  ?h   => ?a  causes  ?b	0.018348624	0.1	0.1	2	20	20	-1
?h  location_of  ?a  ?b  process_of  ?h   => ?a  causes  ?b	0.036697248	0.111111111	0.111111111	4	36	36	-1
?a  interacts_with  ?h  ?b  process_of  ?h   => ?a  causes  ?b	0.04587156	0.052083333	0.15625	5	96	32	-1
?a  affects  ?h  ?b  process_of  ?h   => ?a  causes  ?b	0.275229358	0.056603774	0.12195122	30	530	246	-1
?a  disrupts  ?h  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.165137615	0.230769231	0.230769231	18	78	78	-1
?h  occurs_in  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.036697248	0.117647059	0.133333333	4	34	30	-1
?b  process_of  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.100917431	0.13253012	0.154929577	11	83	71	-1
?h  manifestation_of  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.036697248	0.105263158	0.129032258	4	38	31	-1
?h  process_of  ?a  ?b  process_of  ?h   => ?a  causes  ?b	0.055045872	0.020547945	0.176470588	6	292	34	-1
?h  co-occurs_with  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.027522936	0.272727273	0.272727273	3	11	11	-1
?a  affects  ?h  ?h  degree_of  ?b   => ?a  causes  ?b	0.247706422	0.150837989	0.257142857	27	179	105	-1
?a  affects  ?h  ?h  manifestation_of  ?b   => ?a  causes  ?b	0.247706422	0.093103448	0.163636364	27	290	165	-1
?a  affects  ?h  ?h  associated_with  ?b   => ?a  causes  ?b	0.128440367	0.111111111	0.254545455	14	126	55	-1
?a  affects  ?h  ?h  conceptually_related_to  ?b   => ?a  causes  ?b	0.036697248	0.333333333	0.5	4	12	8	-1
?h  affects  ?a  ?b  process_of  ?h   => ?a  causes  ?b	0.036697248	0.012195122	0.1	4	328	40	-1
?h  degree_of  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.027522936	0.157894737	0.176470588	3	19	17	-1
?h  precedes  ?b  ?a  prevents  ?h   => ?a  causes  ?b	0.018348624	0.142857143	0.2	2	14	10	-1
?h  causes  ?b  ?a  isa  ?h   => ?a  causes  ?b	0.137614679	0.234375	0.234375	15	64	64	-1
?a  affects  ?h  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.440366972	0.096774194	0.177777778	48	496	270	-1
?h  causes  ?b  ?a  ingredient_of  ?h   => ?a  causes  ?b	0.018348624	0.2	0.2	2	10	10	-1
?b  manifestation_of  ?h  ?a  prevents  ?h   => ?a  causes  ?b	0.055045872	0.146341463	0.181818182	6	41	33	-1
?a  causes  ?h  ?h  location_of  ?b   => ?a  causes  ?b	0.146788991	0.150943396	0.150943396	16	106	106	-1
?a  affects  ?h  ?h  complicates  ?b   => ?a  causes  ?b	0.229357798	0.178571429	0.304878049	25	140	82	-1
?h  associated_with  ?b  ?a  causes  ?h   => ?a  causes  ?b	0.110091743	0.15	0.15	12	80	80	-1
?b  manifestation_of  ?h  ?a  treats  ?h   => ?a  causes  ?b	0.055045872	0.171428571	0.222222222	6	35	27	-1
?a  affects  ?h  ?h  precedes  ?b   => ?a  causes  ?b	0.100917431	0.059459459	0.115789474	11	185	95	-1
?a  causes  ?h  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.495412844	0.205323194	0.205323194	54	263	263	-1
?a  causes  ?h  ?h  manifestation_of  ?b   => ?a  causes  ?b	0.412844037	0.13803681	0.13803681	45	326	326	-1
?a  causes  ?h  ?h  complicates  ?b   => ?a  causes  ?b	0.403669725	0.309859155	0.309859155	44	142	142	-1
?a  affects  ?h  ?h  co-occurs_with  ?b   => ?a  causes  ?b	0.128440367	0.092105263	0.172839506	14	152	81	-1
?a  affects  ?h  ?h  occurs_in  ?b   => ?a  causes  ?b	0.201834862	0.084291188	0.144736842	22	261	152	-1
?a  causes  ?h  ?h  degree_of  ?b   => ?a  causes  ?b	0.256880734	0.237288136	0.237288136	28	118	118	-1
?a  complicates  ?h  ?h  result_of  ?b   => ?a  causes  ?b	0.23853211	0.069705094	0.111111111	26	373	234	-1
?a  complicates  ?h  ?h  manifestation_of  ?b   => ?a  causes  ?b	0.155963303	0.104938272	0.171717172	17	162	99	-1
?h  affects  ?b  ?a  isa  ?h   => ?a  causes  ?b	0.091743119	0.048076923	0.126582278	10	208	79	-1
?a  causes  ?h  ?h  occurs_in  ?b   => ?a  causes  ?b	0.23853211	0.114035088	0.114035088	26	228	228	-1
?a  causes  ?h  ?h  precedes  ?b   => ?a  causes  ?b	0.19266055	0.304347826	0.304347826	21	69	69	-1
?h  manifestation_of  ?b  ?a  treats  ?h   => ?a  causes  ?b	0.04587156	0.113636364	0.15625	5	44	32	-1
?a  causes  ?h  ?h  conceptually_related_to  ?b   => ?a  causes  ?b	0.018348624	0.222222222	0.222222222	2	9	9	-1
?a  complicates  ?h  ?h  location_of  ?b   => ?a  causes  ?b	0.036697248	0.063492063	0.148148148	4	63	27	-1
?h  precedes  ?b  ?a  treats  ?h   => ?a  causes  ?b	0.018348624	0.181818182	0.222222222	2	11	9	-1
?h  causes  ?b  ?a  consists_of  ?h   => ?a  causes  ?b	0.04587156	0.384615385	0.625	5	13	8	-1
?a  complicates  ?h  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.19266055	0.139072848	0.176470588	21	151	119	-1
?a  causes  ?h  ?h  co-occurs_with  ?b   => ?a  causes  ?b	0.247706422	0.290322581	0.290322581	27	93	93	-1
?h  complicates  ?b  ?a  treats  ?h   => ?a  causes  ?b	0.027522936	0.214285714	0.272727273	3	14	11	-1
?a  complicates  ?h  ?h  conceptually_related_to  ?b   => ?a  causes  ?b	0.018348624	0.666666667	0.666666667	2	3	3	-1
?h  co-occurs_with  ?b  ?a  complicates  ?h   => ?a  causes  ?b	0.100917431	0.186440678	0.239130435	11	59	46	-1
?a  complicates  ?h  ?h  occurs_in  ?b   => ?a  causes  ?b	0.064220183	0.067961165	0.101449275	7	103	69	-1
?h  complicates  ?b  ?a  complicates  ?h   => ?a  causes  ?b	0.082568807	0.157894737	0.257142857	9	57	35	-1
?a  complicates  ?h  ?h  degree_of  ?b   => ?a  causes  ?b	0.064220183	0.134615385	0.170731707	7	52	41	-1
?h  degree_of  ?b  ?a  treats  ?h   => ?a  causes  ?b	0.018348624	0.133333333	0.181818182	2	15	11	-1
?h  location_of  ?b  ?a  treats  ?h   => ?a  causes  ?b	0.018348624	0.117647059	0.166666667	2	17	12	-1
?h  associated_with  ?b  ?a  complicates  ?h   => ?a  causes  ?b	0.04587156	0.138888889	0.178571429	5	36	28	-1
?a  diagnoses  ?h  ?h  manifestation_of  ?b   => ?a  causes  ?b	0.018348624	0.038461538	0.222222222	2	52	9	-1
?a  interacts_with  ?h  ?h  treats  ?b   => ?a  causes  ?b	0.027522936	0.375	0.375	3	8	8	-1
?h  affects  ?a  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.04587156	0.01369863	0.125	5	365	40	-1
?g  degree_of  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.036697248	0.137931034	0.16	4	29	25	-1
?g  evaluation_of  ?b  ?g  measurement_of  ?a   => ?a  causes  ?b	0.073394495	0.133333333	0.2	8	60	40	-1
?a  indicates  ?h  ?b  manifestation_of  ?h   => ?a  causes  ?b	0.018348624	0.083333333	0.2	2	24	10	-1
?g  complicates  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.082568807	0.36	0.375	9	25	24	-1
?b  manifestation_of  ?h  ?h  process_of  ?a   => ?a  causes  ?b	0.064220183	0.021875	0.166666667	7	320	42	-1
?h  affects  ?b  ?a  indicates  ?h   => ?a  causes  ?b	0.018348624	0.041666667	0.111111111	2	48	18	-1
?h  complicates  ?b  ?a  interacts_with  ?h   => ?a  causes  ?b	0.394495413	0.187772926	0.187772926	43	229	229	-1
?a  interacts_with  ?h  ?h  prevents  ?b   => ?a  causes  ?b	0.100917431	0.44	0.44	11	25	25	-1
?h  diagnoses  ?b  ?a  interacts_with  ?h   => ?a  causes  ?b	0.04587156	0.416666667	0.416666667	5	12	12	-1
?h  affects  ?b  ?a  interacts_with  ?h   => ?a  causes  ?b	0.266055046	0.142156863	0.142156863	29	204	204	-1
?a  complicates  ?h  ?h  precedes  ?b   => ?a  causes  ?b	0.055045872	0.098360656	0.115384615	6	61	52	-1
?b  manifestation_of  ?h  ?h  produces  ?a   => ?a  causes  ?b	0.165137615	0.193548387	0.222222222	18	93	81	-1
?a  indicates  ?h  ?h  result_of  ?b   => ?a  causes  ?b	0.018348624	0.045454545	0.125	2	44	16	-1
?g  complicates  ?b  ?g  isa  ?a   => ?a  causes  ?b	0.055045872	0.066666667	0.130434783	6	90	46	-1
?g  complicates  ?b  ?g  interacts_with  ?a   => ?a  causes  ?b	0.146788991	0.158415842	0.158415842	16	101	101	-1
?h  indicates  ?b  ?a  interacts_with  ?h   => ?a  causes  ?b	0.04587156	0.178571429	0.178571429	5	28	28	-1
?g  diagnoses  ?b  ?g  measures  ?a   => ?a  causes  ?b	0.165137615	0.209302326	0.327272727	18	86	55	-1
?g  affects  ?a  ?g  degree_of  ?b   => ?a  causes  ?b	0.027522936	0.024590164	0.166666667	3	122	18	-1
?g  analyzes  ?a  ?g  diagnoses  ?b   => ?a  causes  ?b	0.128440367	0.368421053	0.368421053	14	38	38	-1
?g  assesses_effect_of  ?a  ?g  diagnoses  ?b   => ?a  causes  ?b	0.055045872	0.142857143	0.176470588	6	42	34	-1
?h  causes  ?b  ?a  interacts_with  ?h   => ?a  causes  ?b	0.47706422	0.325	0.329113924	52	160	158	-1
?g  diagnoses  ?b  ?g  uses  ?a   => ?a  causes  ?b	0.036697248	0.166666667	0.222222222	4	24	18	-1
?g  diagnoses  ?b  ?g  isa  ?a   => ?a  causes  ?b	0.027522936	0.130434783	0.428571429	3	23	7	-1
?g  diagnoses  ?b  ?g  interacts_with  ?a   => ?a  causes  ?b	0.018348624	0.142857143	0.25	2	14	8	-1
?g  manifestation_of  ?b  ?g  measurement_of  ?a   => ?a  causes  ?b	0.110091743	0.129032258	0.214285714	12	93	56	-1
?g  affects  ?a  ?g  precedes  ?b   => ?a  causes  ?b	0.027522936	0.021428571	0.166666667	3	140	18	-1
?g  precedes  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.027522936	0.085714286	0.1	3	35	30	-1
?g  occurs_in  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.055045872	0.130434783	0.139534884	6	46	43	-1
?g  associated_with  ?b  ?g  measures  ?a   => ?a  causes  ?b	0.229357798	0.170068027	0.263157895	25	147	95	-1
?g  interacts_with  ?a  ?g  treats  ?b   => ?a  causes  ?b	0.036697248	0.666666667	1	4	6	4	-1
?g  analyzes  ?a  ?g  associated_with  ?b   => ?a  causes  ?b	0.064220183	0.225806452	0.225806452	7	31	31	-1
?g  manifestation_of  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.04587156	0.1	0.108695652	5	50	46	-1
?g  degree_of  ?b  ?g  process_of  ?a   => ?a  causes  ?b	0.04587156	0.044642857	0.294117647	5	112	17	-1
?g  associated_with  ?b  ?g  uses  ?a   => ?a  causes  ?b	0.036697248	0.2	0.235294118	4	20	17	-1
?g  affects  ?a  ?g  complicates  ?b   => ?a  causes  ?b	0.027522936	0.012605042	0.176470588	3	238	17	-1
?g  associated_with  ?b  ?g  process_of  ?a   => ?a  causes  ?b	0.018348624	0.033333333	0.2	2	60	10	-1
?g  manifestation_of  ?b  ?g  process_of  ?a   => ?a  causes  ?b	0.036697248	0.023391813	0.181818182	4	171	22	-1
?g  affects  ?a  ?g  manifestation_of  ?b   => ?a  causes  ?b	0.04587156	0.018796992	0.119047619	5	266	42	-1
?g  location_of  ?b  ?g  produces  ?a   => ?a  causes  ?b	0.247706422	0.131067961	0.137755102	27	206	196	-1
?g  location_of  ?b  ?g  part_of  ?a   => ?a  causes  ?b	0.055045872	0.019417476	0.109090909	6	309	55	-1
