Assuming 9 as type relation
Loading files... 
  Starting train_pharmkgfull.tsv
  Finished train_pharmkgfull.tsv, still running: 0
Loaded 379794 facts in 1.58 s using 22 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?h  Iw  ?b  ?a  J  ?h   => ?a  J  ?b	0.166860691	0.173737374	0.173737374	430	2475	2475	-1
?g  U  ?b  ?g  Z  ?a   => ?a  J  ?b	0.142801707	0.089255397	0.104783599	368	4123	3512	-1
?g  Te  ?b  ?g  Z  ?a   => ?a  J  ?b	0.099340318	0.093192574	0.109075415	256	2747	2347	-1
?g  D  ?b  ?g  Z  ?a   => ?a  J  ?b	0.038804812	0.104931794	0.12987013	100	953	770	-1
?a  P  ?b  ?b  X  ?a   => ?a  Te  ?b	0.026959768	0.172413793	0.199081164	130	754	653	-1
?a  U  ?b  ?b  X  ?a   => ?a  Te  ?b	0.010369141	0.159744409	0.20242915	50	313	247	-1
?b  ML  ?a  ?b  X  ?a   => ?a  Te  ?b	0.029863127	0.130316742	0.17625459	144	1105	817	-1
?a  D  ?b  ?b  ML  ?a   => ?a  Te  ?b	0.017420158	0.118309859	0.151624549	84	710	554	-1
?b  ML  ?a  ?a  U  ?b   => ?a  Te  ?b	0.06014102	0.099247091	0.144566301	290	2922	2006	-1
?a  D  ?b  ?a  U  ?b   => ?a  Te  ?b	0.011613438	0.154696133	0.213740458	56	362	262	-1
?a  D  ?b  ?a  P  ?b   => ?a  Te  ?b	0.015346329	0.160520607	0.187817259	74	461	394	-1
?a  P  ?b  ?a  U  ?b   => ?a  Te  ?b	0.05350477	0.117166213	0.159456119	258	2202	1618	-1
?b  An  ?h  ?h  X  ?a   => ?a  Te  ?b	0.047075902	0.080325548	0.103652968	227	2826	2190	-1
?b  ML  ?a  ?a  P  ?b   => ?a  Te  ?b	0.125051846	0.102901024	0.130802603	603	5860	4610	-1
?b  An  ?h  ?a  Te  ?h   => ?a  Te  ?b	0.374326006	0.34237481	0.34237481	1805	5272	5272	-1
?b  As  ?h  ?a  Te  ?h   => ?a  Te  ?b	0.0205309	0.177737882	0.177737882	99	557	557	-1
?h  As  ?b  ?a  Te  ?h   => ?a  Te  ?b	0.0205309	0.153250774	0.153250774	99	646	646	-1
?h  Iw  ?b  ?a  Te  ?h   => ?a  Te  ?b	0.177934467	0.159925443	0.159925443	858	5365	5365	-1
?h  An  ?b  ?a  Te  ?h   => ?a  Te  ?b	0.384487764	0.271489237	0.271489237	1854	6829	6829	-1
?b  An  ?a  ?a  Iw  ?b   => ?a  An  ?b	0.022573363	0.769230769	0.833333333	10	13	12	-2
?b  An  ?a  ?b  Iw  ?a   => ?a  An  ?b	0.022573363	0.909090909	0.909090909	10	11	11	-2
?h  An  ?a  ?b  An  ?h   => ?a  An  ?b	0.241534989	0.211462451	0.306590258	107	506	349	-2
?b  Iw  ?a  ?a  Iw  ?b   => ?a  An  ?b	0.0248307	0.031700288	0.215686275	11	347	51	-2
?b  An  ?h  ?h  As  ?a   => ?a  An  ?b	0.011286682	0.113636364	0.151515152	5	44	33	-2
?b  An  ?h  ?a  As  ?h   => ?a  An  ?b	0.011286682	0.125	0.166666667	5	40	30	-2
?a  An  ?h  ?b  An  ?h   => ?a  An  ?b	0.422121896	0.333928571	0.47826087	187	560	391	-2
?a  Mp  ?h  ?b  Mp  ?h   => ?a  An  ?b	0.079006772	0.056089744	0.108024691	35	624	324	-2
?h  As  ?a  ?b  As  ?h   => ?a  An  ?b	0.0248307	0.275	0.35483871	11	40	31	-2
?a  An  ?h  ?b  As  ?h   => ?a  An  ?b	0.020316027	0.225	0.36	9	40	25	-2
?h  An  ?a  ?b  As  ?h   => ?a  An  ?b	0.011286682	0.166666667	0.294117647	5	30	17	-2
?a  As  ?h  ?b  As  ?h   => ?a  An  ?b	0.031602709	0.325581395	0.411764706	14	43	34	-2
?h  An  ?b  ?a  An  ?h   => ?a  An  ?b	0.593679458	0.519762846	0.519762846	263	506	506	-2
?a  An  ?h  ?b  Iw  ?h   => ?a  An  ?b	0.069977427	0.031762295	0.19375	31	976	160	-2
?a  An  ?h  ?h  Iw  ?b   => ?a  An  ?b	0.072234763	0.115107914	0.26446281	32	278	121	-2
?a  An  ?h  ?h  As  ?b   => ?a  An  ?b	0.020316027	0.204545455	0.310344828	9	44	29	-2
?h  As  ?b  ?a  As  ?h   => ?a  An  ?b	0.027088036	0.3	0.387096774	12	40	31	-2
?h  An  ?b  ?a  As  ?h   => ?a  An  ?b	0.015801354	0.233333333	0.233333333	7	30	30	-2
?g  An  ?b  ?g  Iw  ?a   => ?a  An  ?b	0.076749436	0.112956811	0.112956811	34	301	301	-2
?g  An  ?b  ?g  As  ?a   => ?a  An  ?b	0.015801354	0.194444444	0.194444444	7	36	36	-2
?g  An  ?a  ?g  An  ?b   => ?a  An  ?b	0.460496614	0.114800225	0.114800225	204	1777	1777	-2
?g  As  ?a  ?g  As  ?b   => ?a  An  ?b	0.0248307	0.275	0.35483871	11	40	31	-2
?g  An  ?a  ?g  As  ?b   => ?a  An  ?b	0.011286682	0.138888889	0.25	5	36	20	-2
?g  An  ?a  ?g  Iw  ?b   => ?a  An  ?b	0.031602709	0.046511628	0.105263158	14	301	133	-2
?b  D  ?a  ?b  U  ?a   => ?a  X  ?b	0.010473095	0.080110497	0.138095238	29	362	210	-2
?b  Te  ?a  ?b  U  ?a   => ?a  X  ?b	0.01805706	0.083752094	0.124378109	50	597	402	-2
?a  ML  ?b  ?b  Te  ?a   => ?a  X  ?b	0.052004334	0.099653979	0.121314238	144	1445	1187	-2
?b  P  ?a  ?b  Te  ?a   => ?a  X  ?b	0.046948357	0.089593384	0.103916867	130	1451	1251	-2
?b  D  ?a  ?b  P  ?a   => ?a  X  ?b	0.014084507	0.084598698	0.107142857	39	461	364	-2
?b  D  ?a  ?a  ML  ?b   => ?a  X  ?b	0.022751896	0.088732394	0.117977528	63	710	534	-2
?a  An  ?h  ?h  X  ?b   => ?a  X  ?b	0.374503431	0.366949752	0.366949752	1037	2826	2826	-2
?a  As  ?h  ?h  X  ?b   => ?a  X  ?b	0.023113037	0.229390681	0.229390681	64	279	279	-2
?g  As  ?a  ?g  X  ?b   => ?a  X  ?b	0.023113037	0.186588921	0.186588921	64	343	343	-2
?g  An  ?a  ?g  X  ?b   => ?a  X  ?b	0.38317082	0.279063651	0.279063651	1061	3802	3802	-2
?b  Iw  ?a  ?a  ML  ?b   => ?a  Iw  ?b	0.012531328	0.241935484	0.612244898	30	124	49	-1
?b  Iw  ?a  ?a  U  ?b   => ?a  Iw  ?b	0.011278195	0.818181818	0.964285714	27	33	28	-1
?b  Iw  ?a  ?b  ML  ?a   => ?a  Iw  ?b	0.012531328	0.833333333	0.9375	30	36	32	-1
?b  Iw  ?a  ?b  U  ?a   => ?a  Iw  ?b	0.011278195	0.457627119	0.794117647	27	59	34	-1
?h  An  ?a  ?b  Iw  ?h   => ?a  Iw  ?b	0.017126149	0.030483271	0.166666667	41	1345	246	-1
?a  An  ?h  ?b  Iw  ?h   => ?a  Iw  ?b	0.015873016	0.038934426	0.214689266	38	976	177	-1
?b  An  ?h  ?h  Iw  ?a   => ?a  Iw  ?b	0.015873016	0.136690647	0.358490566	38	278	106	-1
?b  An  ?h  ?a  Iw  ?h   => ?a  Iw  ?b	0.165413534	0.405737705	0.405737705	396	976	976	-1
?h  Iw  ?b  ?a  Rg  ?h   => ?a  Iw  ?b	0.449874687	0.03596834	0.101164757	1077	29943	10646	-1
?h  An  ?b  ?a  Iw  ?h   => ?a  Iw  ?b	0.166666667	0.296654275	0.296654275	399	1345	1345	-1
?h  Iw  ?b  ?a  Z  ?h   => ?a  Iw  ?b	0.01336675	0.037470726	0.10031348	32	854	319	-1
?a  An  ?h  ?h  Iw  ?b   => ?a  Iw  ?b	0.060985798	0.525179856	0.935897436	146	278	156	-1
?g  Iw  ?b  ?g  Rg  ?a   => ?a  Iw  ?b	0.449039265	0.035386287	0.100364112	1075	30379	10711	-1
?g  An  ?a  ?g  Iw  ?b   => ?a  Iw  ?b	0.069340017	0.551495017	0.846938776	166	301	196	-1
?g  D  ?b  ?g  Iw  ?a   => ?a  Iw  ?b	0.055137845	0.066666667	0.105263158	132	1980	1254	-1
?g  An  ?b  ?g  Iw  ?a   => ?a  Iw  ?b	0.017126149	0.136212625	0.328	41	301	125	-1
?a  J  ?b  ?a  T  ?b   => ?a  Pr  ?b	0.01534998	0.112951807	0.116099071	75	664	646	-1
?b  An  ?h  ?a  Pr  ?h   => ?a  Pr  ?b	0.328898895	0.335490605	0.335490605	1607	4790	4790	-1
?h  An  ?b  ?a  Pr  ?h   => ?a  Pr  ?b	0.331764224	0.250077137	0.250077137	1621	6482	6482	-1
?h  Iw  ?b  ?a  Pr  ?h   => ?a  Pr  ?b	0.109905853	0.122518823	0.122518823	537	4383	4383	-1
?a  Ra  ?b  ?b  Rg  ?a   => ?a  B  ?b	0.022270653	0.109109109	0.119038952	327	2997	2747	-1
?a  E  ?b  ?b  Rg  ?a   => ?a  B  ?b	0.019682626	0.104900181	0.108728367	289	2755	2658	-1
?a  Q  ?b  ?b  Rg  ?a   => ?a  B  ?b	0.022679289	0.106662396	0.117876106	333	3122	2825	-1
?a  GG  ?b  ?b  Rg  ?a   => ?a  B  ?b	0.016685963	0.109570662	0.12570549	245	2236	1949	-1
?b  B  ?a  ?b  Rg  ?a   => ?a  B  ?b	0.093237077	0.727031333	0.75886918	1369	1883	1804	-1
?b  Ra  ?a  ?b  Rg  ?a   => ?a  B  ?b	0.022815501	0.132306477	0.142371441	335	2532	2353	-1
?b  Q  ?a  ?b  Rg  ?a   => ?a  B  ?b	0.022611183	0.112237999	0.123695976	332	2958	2684	-1
?b  E  ?a  ?b  Rg  ?a   => ?a  B  ?b	0.021385275	0.121095256	0.130942452	314	2593	2398	-1
?b  GG  ?a  ?b  Rg  ?a   => ?a  B  ?b	0.016822175	0.110022272	0.128578865	247	2245	1921	-1
?b  E  ?a  ?a  Q  ?b   => ?a  B  ?b	0.012872029	0.099578504	0.107447413	189	1898	1759	-1
?b  E  ?a  ?a  Rg  ?b   => ?a  B  ?b	0.021453381	0.114337568	0.124162397	315	2755	2537	-1
?b  E  ?a  ?a  Ra  ?b   => ?a  B  ?b	0.011782333	0.099311137	0.106200123	173	1742	1629	-1
?b  E  ?a  ?b  Q  ?a   => ?a  B  ?b	0.013144453	0.107881498	0.115638107	193	1789	1669	-1
?b  E  ?a  ?b  Ra  ?a   => ?a  B  ?b	0.012190969	0.140944882	0.149540518	179	1270	1197	-1
?b  B  ?a  ?a  Q  ?b   => ?a  B  ?b	0.042770551	0.648090815	0.68935236	628	969	911	-1
?b  B  ?a  ?a  Rg  ?b   => ?a  B  ?b	0.093237077	0.651594479	0.687248996	1369	2101	1992	-1
?b  B  ?a  ?a  GG  ?b   => ?a  B  ?b	0.055370156	0.697854077	0.733092876	813	1165	1109	-1
?b  B  ?a  ?b  Ra  ?a   => ?a  B  ?b	0.041136008	0.67335563	0.696655133	604	897	867	-1
?b  B  ?a  ?b  Q  ?a   => ?a  B  ?b	0.042770551	0.677454153	0.724336794	628	927	867	-1
?b  B  ?a  ?b  GG  ?a   => ?a  B  ?b	0.055370156	0.706342311	0.747242647	813	1151	1088	-1
?a  Q  ?b  ?b  Ra  ?a   => ?a  B  ?b	0.011237486	0.107282185	0.115789474	165	1538	1425	-1
?b  Ra  ?a  ?a  Rg  ?b   => ?a  B  ?b	0.024109514	0.118118118	0.127521614	354	2997	2776	-1
?b  Q  ?a  ?b  Ra  ?a   => ?a  B  ?b	0.010896956	0.110573601	0.118518519	160	1447	1350	-1
?a  Q  ?b  ?a  Rg  ?b   => ?a  B  ?b	0.021589593	0.107167005	0.118637725	317	2958	2672	-1
?b  GG  ?a  ?b  Ra  ?a   => ?a  B  ?b	0.010215896	0.078822911	0.101694915	150	1903	1475	-1
?b  GG  ?a  ?a  Rg  ?b   => ?a  B  ?b	0.016141116	0.105992844	0.12447479	237	2236	1904	-1
?a  Ra  ?b  ?a  Rg  ?b   => ?a  B  ?b	0.019546414	0.113349131	0.123334766	287	2532	2327	-1
?a  E  ?b  ?a  Rg  ?b   => ?a  B  ?b	0.018661037	0.105669109	0.10933759	274	2593	2506	-1
?a  GG  ?b  ?a  Rg  ?b   => ?a  B  ?b	0.016004904	0.10467706	0.119959163	235	2245	1959	-1
?b  Q  ?a  ?a  Rg  ?b   => ?a  B  ?b	0.022202547	0.104420243	0.115767045	326	3122	2816	-1
?b  Q  ?a  ?a  Ra  ?b   => ?a  B  ?b	0.010284002	0.098179454	0.105742297	151	1538	1428	-1
?a  Pr  ?b  ?a  T  ?b   => ?a  Sa  ?b	0.015472085	0.141156463	0.143474503	166	1176	1157	-1
?a  J  ?b  ?a  T  ?b   => ?a  Sa  ?b	0.011557461	0.186746988	0.188449848	124	664	658	-1
?b  An  ?h  ?a  Sa  ?h   => ?a  Sa  ?b	0.289122938	0.34674715	0.34674715	3102	8946	8946	-1
?b  An  ?h  ?a  J  ?h   => ?a  Sa  ?b	0.023860565	0.107157807	0.10982411	256	2389	2331	-1
?a  I  ?h  ?h  Sa  ?b   => ?a  Sa  ?b	0.010998229	0.003310701	0.151670951	118	35642	778	-1
?h  Iw  ?b  ?a  Sa  ?h   => ?a  Sa  ?b	0.113524094	0.14569378	0.14569378	1218	8360	8360	-1
?h  An  ?b  ?a  Sa  ?h   => ?a  Sa  ?b	0.289309348	0.233103034	0.233103034	3104	13316	13316	-1
?a  B  ?h  ?h  D  ?b   => ?a  Sa  ?b	0.015285674	0.005592307	0.100244499	164	29326	1636	-1
?g  I  ?a  ?g  Sa  ?b   => ?a  Sa  ?b	0.010532202	0.003285839	0.158707865	113	34390	712	-1
?b  ML  ?a  ?b  X  ?a   => ?a  P  ?b	0.01502517	0.353846154	0.361702128	391	1105	1081	-1
?b  ML  ?a  ?a  U  ?b   => ?a  P  ?b	0.035660762	0.317590691	0.333453108	928	2922	2783	-1
?b  ML  ?a  ?a  Te  ?b   => ?a  P  ?b	0.02317181	0.417301038	0.421678322	603	1445	1430	-1
?b  An  ?h  ?h  X  ?a   => ?a  P  ?b	0.025246897	0.232484076	0.239082969	657	2826	2748	-1
?b  An  ?h  ?a  Te  ?h   => ?a  P  ?b	0.049417823	0.243930197	0.249128245	1286	5272	5162	-1
?b  An  ?h  ?a  D  ?h   => ?a  P  ?b	0.015909004	0.206483791	0.212525667	414	2005	1948	-1
?b  An  ?h  ?a  U  ?h   => ?a  P  ?b	0.062636898	0.143624989	0.15925745	1630	11349	10235	-1
?b  An  ?h  ?a  I  ?h   => ?a  P  ?b	0.012066249	0.06934629	0.10015949	314	4528	3135	-1
?b  Mp  ?h  ?h  N  ?a   => ?a  P  ?b	0.014026054	0.146	0.15039143	365	2500	2427	-1
?b  An  ?h  ?h  ML  ?a   => ?a  P  ?b	0.153325904	0.154561302	0.162930295	3990	25815	24489	-1
?b  An  ?h  ?a  P  ?h   => ?a  P  ?b	0.350689774	0.406883945	0.406883945	9126	22429	22429	-1
?a  K  ?h  ?b  Mp  ?h   => ?a  P  ?b	0.019444338	0.175268445	0.179305457	506	2887	2822	-1
?h  E  ?a  ?b  Mp  ?h   => ?a  P  ?b	0.056373208	0.150245801	0.154258675	1467	9764	9510	-1
?b  As  ?h  ?a  P  ?h   => ?a  P  ?b	0.02174999	0.233691164	0.233691164	566	2422	2422	-1
?b  As  ?h  ?h  ML  ?a   => ?a  P  ?b	0.012796372	0.11334241	0.118421053	333	2938	2812	-1
?h  E  ?a  ?b  X  ?h   => ?a  P  ?b	0.347385006	0.117358397	0.121495578	9040	77029	74406	-1
?h  Rg  ?a  ?b  X  ?h   => ?a  P  ?b	0.346193752	0.114613946	0.12113104	9009	78603	74374	-1
?h  Q  ?a  ?b  X  ?h   => ?a  P  ?b	0.29769819	0.128032657	0.13255424	7747	60508	58444	-1
?h  Ra  ?a  ?b  X  ?h   => ?a  P  ?b	0.226146102	0.109729266	0.117791878	5885	53632	49961	-1
?h  Iw  ?a  ?b  X  ?h   => ?a  P  ?b	0.012642662	0.099576271	0.163844622	329	3304	2008	-1
?h  B  ?a  ?b  X  ?h   => ?a  P  ?b	0.18437536	0.135720751	0.141525574	4798	35352	33902	-1
?a  Q  ?h  ?b  X  ?h   => ?a  P  ?b	0.298658879	0.126970643	0.131363667	7772	61211	59164	-1
?a  E  ?h  ?b  X  ?h   => ?a  P  ?b	0.330515313	0.076508419	0.117990013	8601	112419	72896	-1
?a  Rg  ?h  ?b  X  ?h   => ?a  P  ?b	0.344887215	0.114981552	0.121633892	8975	78056	73787	-1
?a  Iw  ?h  ?b  X  ?h   => ?a  P  ?b	0.016869692	0.128588166	0.195458593	439	3414	2246	-1
?a  B  ?h  ?b  X  ?h   => ?a  P  ?b	0.175037467	0.119466009	0.132378157	4555	38128	34409	-1
?a  Ra  ?h  ?b  X  ?h   => ?a  P  ?b	0.226184529	0.112033195	0.120017128	5886	52538	49043	-1
?h  An  ?b  ?a  P  ?h   => ?a  P  ?b	0.351881028	0.284582155	0.284582155	9157	32177	32177	-1
?h  Iw  ?b  ?a  P  ?h   => ?a  P  ?b	0.210006533	0.182751471	0.182751471	5465	29904	29904	-1
?h  As  ?b  ?a  P  ?h   => ?a  P  ?b	0.02174999	0.201351832	0.201351832	566	2811	2811	-1
?a  GG  ?h  ?b  X  ?h   => ?a  P  ?b	0.122430158	0.082287308	0.103136836	3186	38718	30891	-1
?a  Rg  ?h  ?h  Te  ?b   => ?a  P  ?b	0.464589017	0.095061369	0.100632595	12090	127181	120140	-1
?h  D  ?b  ?a  Rg  ?h   => ?a  P  ?b	0.274411098	0.121745802	0.128871003	7141	58655	55412	-1
?a  Q  ?h  ?h  Te  ?b   => ?a  P  ?b	0.418744956	0.104642007	0.108815482	10897	104136	100142	-1
?h  D  ?b  ?a  Q  ?h   => ?a  P  ?b	0.218230027	0.139945786	0.145369375	5679	40580	39066	-1
?h  An  ?b  ?a  U  ?h   => ?a  P  ?b	0.063443877	0.104131189	0.117142046	1651	15855	14094	-1
?h  Iw  ?b  ?a  U  ?h   => ?a  P  ?b	0.0513392	0.096267474	0.108865711	1336	13878	12272	-1
?a  Ra  ?h  ?h  Te  ?b   => ?a  P  ?b	0.3337048	0.099434355	0.106447659	8684	87334	81580	-1
?h  D  ?b  ?a  Ra  ?h   => ?a  P  ?b	0.195404066	0.108088001	0.116612393	5085	47045	43606	-1
?h  Iw  ?a  ?b  ML  ?h   => ?a  P  ?b	0.05368328	0.070292845	0.129100822	1397	19874	10821	-1
?a  Iw  ?h  ?b  ML  ?h   => ?a  P  ?b	0.097106406	0.105648229	0.169563175	2527	23919	14903	-1
?h  An  ?b  ?a  Te  ?h   => ?a  P  ?b	0.046996887	0.179089179	0.183385815	1223	6829	6669	-1
?h  Iw  ?b  ?a  Te  ?h   => ?a  P  ?b	0.038619683	0.187325256	0.2	1005	5365	5025	-1
?h  D  ?b  ?a  E  ?h   => ?a  P  ?b	0.227644776	0.095022697	0.142448361	5924	62343	41587	-1
?a  K  ?h  ?h  Sa  ?b   => ?a  P  ?b	0.193059985	0.108657569	0.112037822	5024	46237	44842	-1
?h  C  ?b  ?a  K  ?h   => ?a  P  ?b	0.059370557	0.167880039	0.172336866	1545	9203	8965	-1
?h  J  ?b  ?a  K  ?h   => ?a  P  ?b	0.172040118	0.123075654	0.128638336	4477	36376	34803	-1
?a  K  ?h  ?h  Pr  ?b   => ?a  P  ?b	0.145063982	0.148324231	0.152414406	3775	25451	24768	-1
?h  An  ?b  ?a  D  ?h   => ?a  P  ?b	0.017676671	0.154517971	0.159114493	460	2977	2891	-1
?a  D  ?h  ?h  Iw  ?b   => ?a  P  ?b	0.013910771	0.152036959	0.158911326	362	2381	2278	-1
?a  B  ?h  ?h  Te  ?b   => ?a  P  ?b	0.270491488	0.106175335	0.119200027	7039	66296	59052	-1
?a  B  ?h  ?h  D  ?b   => ?a  P  ?b	0.136456212	0.12108709	0.135715651	3551	29326	26165	-1
?h  T  ?b  ?a  Z  ?h   => ?a  P  ?b	0.12615763	0.102960547	0.108518163	3283	31886	30253	-1
?h  J  ?b  ?a  Z  ?h   => ?a  P  ?b	0.071475233	0.107458548	0.11356698	1860	17309	16378	-1
?h  Pr  ?b  ?a  Z  ?h   => ?a  P  ?b	0.036967298	0.130175913	0.137369699	962	7390	7003	-1
?h  C  ?b  ?a  Z  ?h   => ?a  P  ?b	0.020212889	0.157532195	0.16614024	526	3339	3166	-1
?h  Sa  ?b  ?a  Z  ?h   => ?a  P  ?b	0.036813588	0.109610984	0.115770393	958	8740	8275	-1
?h  C  ?b  ?a  O  ?h   => ?a  P  ?b	0.021212005	0.13893783	0.152108019	552	3973	3629	-1
?a  O  ?h  ?h  Pr  ?b   => ?a  P  ?b	0.044729662	0.1102064	0.120012372	1164	10562	9699	-1
?a  Iw  ?h  ?h  P  ?b   => ?a  P  ?b	0.128463282	0.108651846	0.166833017	3343	30768	20038	-1
?a  Iw  ?h  ?h  Te  ?b   => ?a  P  ?b	0.040195212	0.133622892	0.19706104	1046	7828	5308	-1
?h  Iw  ?b  ?a  Iw  ?h   => ?a  P  ?b	0.070322407	0.076012461	0.108034713	1830	24075	16939	-1
?a  Iw  ?h  ?h  U  ?b   => ?a  P  ?b	0.038004842	0.092724545	0.151943463	989	10666	6509	-1
?h  D  ?b  ?a  Iw  ?h   => ?a  P  ?b	0.01095185	0.125054849	0.202271114	285	2279	1409	-1
?g  A  ?a  ?g  Sa  ?b   => ?a  P  ?b	0.028513238	0.128351496	0.132927266	742	5781	5582	-1
?g  B  ?a  ?g  Sa  ?b   => ?a  P  ?b	0.067056066	0.101666278	0.106950233	1745	17164	16316	-1
?g  Iw  ?a  ?g  U  ?b   => ?a  P  ?b	0.024708911	0.071595591	0.131037294	643	8981	4907	-1
?g  B  ?a  ?g  U  ?b   => ?a  P  ?b	0.328517081	0.095318266	0.101369538	8549	89689	84335	-1
?g  Q  ?a  ?g  Te  ?b   => ?a  P  ?b	0.420973754	0.105681018	0.110072846	10955	103661	99525	-1
?g  Rg  ?a  ?g  Te  ?b   => ?a  P  ?b	0.470698997	0.095170388	0.100534312	12249	128706	121839	-1
