dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
countries_s1;backward_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-r2n-None-1-100;4;[0.465, 0.109];[0.495, 0.109];[0.436, 0.109];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[0.343, 0.012];[0.316, 0.018];[0.369, 0.007];[0.797, 0.033];[0.754, 0.047];[0.808, 0.029];[0.886, 0.013];[0.834, 0.019];[0.924, 0.024];[0.32, 0.016];[0.373, 0.023];[0.267, 0.014];[0.878, 0.023];[0.8, 0.04];[0.94, 0.033];[0.975, 0.029];[0.968, 0.037];[0.968, 0.037];[0.156, 0.024];[0.206, 0.039];[31.094, 0.469];[0.042, 0.019];[0.292, 0.044]
countries_s1;backward_3;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.074, 0.021];[0.08, 0.021];[28.696, 1.489];[0.01, 0.009];[0.228, 0.047]
countries_s1;domainbody;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-dcr-None-1-100;4;[0.184, 0.134];[0.124, 0.142];[0.169, 0.131];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.422, 0.055];[0.351, 0.04];[0.417, 0.065];[0.912, 0.004];[0.892, 0.007];[0.922, 0.012];[0.914, 0.006];[0.892, 0.007];[0.93, 0.014];[0.384, 0.033];[0.316, 0.042];[0.376, 0.024];[0.927, 0.013];[0.884, 0.023];[0.952, 0.016];[0.933, 0.008];[0.892, 0.02];[0.956, 0.023];[0.324, 0.084];[1.61, 1.725];[51.312, 1.228];[0.086, 0.021];[0.32, 0.041]
countries_s1;domainbody;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-sbr-None-1-100;4;[0.022, 0.005];[0.017, 0.005];[0.028, 0.005];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.328, 0.015];[0.308, 0.007];[0.349, 0.024];[0.912, 0.008];[0.896, 0.014];[0.922, 0.004];[0.912, 0.007];[0.894, 0.014];[0.92, 0.009];[0.329, 0.05];[0.333, 0.055];[0.325, 0.046];[0.927, 0.019];[0.892, 0.024];[0.936, 0.027];[0.934, 0.016];[0.9, 0.022];[0.948, 0.027];[0.34, 0.067];[1.634, 1.834];[33.184, 1.675];[0.09, 0.026];[0.314, 0.038]
countries_s1;domainbody;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-r2n-None-1-100;4;[0.126, 0.24];[0.126, 0.24];[0.126, 0.24];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.372, 0.031];[0.372, 0.031];[0.372, 0.031];[0.911, 0.01];[0.892, 0.015];[0.924, 0.005];[0.911, 0.01];[0.892, 0.015];[0.924, 0.005];[0.403, 0.076];[0.403, 0.076];[0.403, 0.076];[0.925, 0.01];[0.888, 0.016];[0.944, 0.029];[0.925, 0.01];[0.888, 0.016];[0.944, 0.029];[0.338, 0.038];[1.744, 1.949];[44.686, 2.381];[0.088, 0.036];[0.306, 0.044]
countries_s1;domainbody;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.06, 0.015];[0.08, 0.026];[27.808, 0.902];[0.006, 0.005];[0.198, 0.016]
countries_s1;full;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-dcr-None-1-100;4;[0.178, 0.2];[0.117, 0.21];[0.162, 0.193];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.436, 0.037];[0.364, 0.025];[0.43, 0.047];[0.911, 0.004];[0.892, 0.004];[0.92, 0.009];[0.915, 0.006];[0.894, 0.005];[0.928, 0.013];[0.409, 0.054];[0.347, 0.073];[0.396, 0.037];[0.93, 0.015];[0.892, 0.02];[0.948, 0.02];[0.938, 0.01];[0.904, 0.015];[0.956, 0.023];[0.706, 0.131];[0.626, 0.062];[59.938, 2.534];[0.642, 0.057];[0.952, 0.111]
countries_s1;full;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-sbr-None-1-100;4;[0.022, 0.005];[0.017, 0.005];[0.028, 0.005];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.328, 0.015];[0.308, 0.007];[0.349, 0.024];[0.912, 0.008];[0.896, 0.014];[0.922, 0.004];[0.912, 0.007];[0.894, 0.014];[0.92, 0.009];[0.329, 0.05];[0.333, 0.055];[0.325, 0.046];[0.927, 0.019];[0.892, 0.024];[0.936, 0.027];[0.934, 0.016];[0.9, 0.022];[0.948, 0.027];[0.642, 0.041];[1.752, 2.086];[36.1, 2.337];[0.61, 0.063];[0.854, 0.034]
countries_s1;full;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-r2n-None-1-100;4;[0.013, 0.017];[0.013, 0.017];[0.013, 0.017];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.379, 0.049];[0.379, 0.049];[0.379, 0.049];[0.91, 0.011];[0.89, 0.013];[0.922, 0.015];[0.91, 0.011];[0.89, 0.013];[0.922, 0.015];[0.397, 0.117];[0.397, 0.117];[0.397, 0.117];[0.922, 0.012];[0.884, 0.015];[0.944, 0.029];[0.922, 0.012];[0.884, 0.015];[0.944, 0.029];[0.632, 0.069];[0.634, 0.075];[54.27, 1.429];[1.84, 2.535];[2.102, 2.54]
countries_s1;full;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.064, 0.022];[0.068, 0.015];[28.686, 2.427];[0.008, 0.004];[0.234, 0.037]
countries_s2;backward_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-dcr-None-1-100;4;[0.008, 0.014];[0.007, 0.013];[0.007, 0.012];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.42, 0.057];[0.419, 0.059];[0.419, 0.059];[0.805, 0.015];[0.782, 0.012];[0.808, 0.022];[0.807, 0.016];[0.786, 0.014];[0.808, 0.022];[0.438, 0.095];[0.437, 0.095];[0.437, 0.096];[0.909, 0.024];[0.864, 0.029];[0.948, 0.03];[0.909, 0.024];[0.864, 0.029];[0.948, 0.03];[6.072, 0.23];[8.908, 0.09];[59.452, 1.073];[1.278, 0.223];[1.51, 0.225]
countries_s2;backward_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-sbr-None-1-100;4;[0.107, 0.208];[0.108, 0.209];[0.106, 0.207];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.373, 0.03];[0.373, 0.03];[0.373, 0.03];[0.795, 0.016];[0.768, 0.013];[0.804, 0.023];[0.804, 0.016];[0.782, 0.013];[0.81, 0.022];[0.397, 0.072];[0.397, 0.072];[0.396, 0.072];[0.904, 0.023];[0.852, 0.03];[0.948, 0.03];[0.906, 0.019];[0.856, 0.023];[0.948, 0.03];[5.974, 0.114];[8.758, 0.371];[44.172, 0.988];[1.402, 0.076];[1.674, 0.089]
