Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
pharmkg_supersmall;backward_2;complex;100;0.5;1;dcr;[241.50284304618836, 15.919109029917117];[0.2353, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4463, 0.0095];[0.2232, 0.0095];[0.2232, 0.0095];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108]
pharmkg_supersmall;backward_2;complex;100;0.5;1;r2n;[107.9355489730835, 21.15435859557903];[0.0135, 0.0002];[0.0123, 0.0001];[0.0148, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2213, 0.009];[0.2235, 0.0095];[0.2192, 0.0085];[0.6656, 0.0115];[0.5879, 0.0143];[0.6895, 0.0108];[0.6663, 0.011];[0.5895, 0.0145];[0.6871, 0.0104]
pharmkg_supersmall;backward_2;complex;100;0.5;1;gsbr;[92.77196507453918, 19.895603322550322];[0.0122, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2232, 0.0095];[0.2232, 0.0095];[0.2232, 0.0095];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108]
pharmkg_supersmall;backward_2;complex;100;0.5;1;cdcr;[336.4075647354126, 18.763050004436284];[0.2353, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4463, 0.0095];[0.2232, 0.0095];[0.2232, 0.0095];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108]
pharmkg_supersmall;backward_2;complex;100;0.5;1;no_reasoner;[37.91823239326477, 22.098013505683717];[2.577, 0.0001];[0.0123, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3685, 0.0045];[0.2228, 0.009];[0.5142, 0.0];[0.663, 0.0094];[0.5847, 0.0137];[0.6863, 0.0053];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
pharmkg_supersmall;backward_3;complex;100;0.5;1;dcr;[241.60798425674437, 20.236392232761677];[0.2353, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4463, 0.0095];[0.2232, 0.0095];[0.2232, 0.0095];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108]
pharmkg_supersmall;backward_3;complex;100;0.5;1;r2n;[105.44233593940734, 23.213818004298457];[0.0135, 0.0002];[0.0123, 0.0001];[0.0148, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2213, 0.009];[0.2235, 0.0095];[0.2192, 0.0085];[0.6656, 0.0115];[0.5879, 0.0143];[0.6895, 0.0108];[0.6663, 0.011];[0.5895, 0.0145];[0.6871, 0.0104]
pharmkg_supersmall;backward_3;complex;100;0.5;1;gsbr;[87.9776963710785, 20.22840386527597];[0.0122, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2232, 0.0095];[0.2232, 0.0095];[0.2232, 0.0095];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108];[0.665, 0.0118];[0.5871, 0.015];[0.6895, 0.0108]
pharmkg_supersmall;backward_3;complex;100;0.5;1;cdcr;[325.93116788864137, 7.626744750547473];[0.2354, 0.0003];[0.0123, 0.0003];[0.0123, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4445, 0.0067];[0.2215, 0.0067];[0.2215, 0.0067];[0.668, 0.0072];[0.5952, 0.007];[0.6831, 0.0126];[0.668, 0.0072];[0.5952, 0.007];[0.6831, 0.0126]
pharmkg_supersmall;backward_3;complex;100;0.5;1;no_reasoner;[31.171931266784668, 5.9850033464324];[2.577, 0.0001];[0.0123, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3676, 0.0035];[0.2211, 0.007];[0.5142, 0.0];[0.666, 0.0102];[0.5935, 0.0118];[0.6823, 0.0138];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
pharmkg_supersmall;domainbody;complex;100;0.5;1;dcr;[238.79807505607604, 6.880930790854147];[0.2384, 0.0003];[0.0126, 0.0002];[0.0156, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4331, 0.0103];[0.2109, 0.0101];[0.2068, 0.0101];[0.6778, 0.0099];[0.6016, 0.016];[0.6984, 0.0152];[0.6834, 0.0119];[0.6048, 0.018];[0.7065, 0.019]
pharmkg_supersmall;domainbody;complex;100;0.5;1;r2n;[115.9834746837616, 2.435616870252176];[0.0136, 0.0001];[0.0123, 0.0001];[0.0149, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2131, 0.0064];[0.2149, 0.0067];[0.2114, 0.0062];[0.6719, 0.0084];[0.5992, 0.0119];[0.6911, 0.0132];[0.6716, 0.0074];[0.5992, 0.0119];[0.6903, 0.0129]
pharmkg_supersmall;domainbody;complex;100;0.5;1;gsbr;[93.77053174972534, 2.9524102836130868];[0.0123, 0.0001];[0.0123, 0.0001];[0.0123, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2125, 0.0084];[0.2126, 0.0085];[0.2125, 0.0084];[0.6713, 0.0083];[0.5984, 0.0087];[0.6871, 0.0156];[0.6713, 0.0083];[0.5984, 0.0087];[0.6871, 0.0156]
pharmkg_supersmall;domainbody;complex;100;0.5;1;cdcr;[340.4586035251617, 4.972890089000081];[0.2426, 0.0034];[0.0147, 0.0015];[0.0219, 0.0048];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4181, 0.0103];[0.1961, 0.0095];[0.1915, 0.0107];[0.6809, 0.0114];[0.6024, 0.0146];[0.7056, 0.0142];[0.6887, 0.0146];[0.6081, 0.016];[0.7202, 0.0208]
pharmkg_supersmall;domainbody;complex;100;0.5;1;no_reasoner;[31.6405291557312, 9.974902313587402];[2.577, 0.0001];[0.0123, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3645, 0.0048];[0.2148, 0.0096];[0.5142, 0.0];[0.6714, 0.0106];[0.5984, 0.0119];[0.6871, 0.0174];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
pharmkg_supersmall;full;complex;100;0.5;1;dcr;[368.42602639198304, 5.333249118761606];[0.2965, 0.002];[0.0144, 0.0006];[0.1097, 0.0039];[0.9998, 0.0004];[0.9996, 0.0008];[1.0, 0.0];[0.9998, 0.0004];[0.9996, 0.0008];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.458, 0.0106];[0.216, 0.0103];[0.231, 0.0115];[0.6948, 0.0071];[0.6121, 0.003];[0.7282, 0.0181];[0.6926, 0.0076];[0.6105, 0.0066];[0.7169, 0.0176]
pharmkg_supersmall;full;complex;100;0.5;1;r2n;[318.9719336986542, 10.62817616666418];[0.0135, 0.0002];[0.0133, 0.0003];[0.0138, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2711, 0.014];[0.1996, 0.0078];[0.3425, 0.0287];[0.6784, 0.0082];[0.604, 0.01];[0.6984, 0.0112];[0.6591, 0.0057];[0.5863, 0.0094];[0.6653, 0.0159]
pharmkg_supersmall;full;complex;100;0.5;1;gsbr;[138.98086767196656, 11.297521187917797];[0.0122, 0.0003];[0.0122, 0.0003];[0.0122, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2068, 0.0072];[0.2068, 0.0072];[0.2068, 0.0073];[0.6708, 0.0091];[0.5984, 0.0129];[0.6887, 0.0069];[0.6707, 0.0092];[0.5984, 0.0129];[0.6879, 0.006]
pharmkg_supersmall;full;complex;100;0.5;1;cdcr;[708.2791563034058, 11.39016656827336];[0.4713, 0.0122];[0.0455, 0.0058];[0.4419, 0.029];[0.998, 0.0012];[0.9961, 0.0023];[1.0, 0.0];[0.9963, 0.0016];[0.9929, 0.0031];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5241, 0.0355];[0.2223, 0.0288];[0.3705, 0.0435];[0.674, 0.0136];[0.5952, 0.0146];[0.696, 0.022];[0.6623, 0.0207];[0.5895, 0.0212];[0.675, 0.0229]
pharmkg_supersmall;full;complex;100;0.5;1;no_reasoner;[26.23549928665161, 0.4707576450555459];[2.577, 0.0001];[0.0123, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3645, 0.0048];[0.2148, 0.0096];[0.5142, 0.0];[0.6714, 0.0106];[0.5984, 0.0119];[0.6871, 0.0174];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
nations_AMIE;domainbody;complex;100;0.5;1;dcr;[207.70871891975403, 3.4851999145846086];[0.1559, 0.0011];[0.0143, 0.0006];[0.0157, 0.0017];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5227, 0.0231];[0.3832, 0.0234];[0.3804, 0.0228];[0.6981, 0.0172];[0.592, 0.0197];[0.7378, 0.0233];[0.6983, 0.0144];[0.5935, 0.0154];[0.7388, 0.0229]
nations_AMIE;domainbody;complex;100;0.5;1;r2n;[131.00336112976075, 3.9303327194297464];[0.0146, 0.0002];[0.0134, 0.0003];[0.0159, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3789, 0.0202];[0.3855, 0.0201];[0.3723, 0.0203];[0.6987, 0.0163];[0.595, 0.0209];[0.7373, 0.0162];[0.6972, 0.0158];[0.593, 0.0181];[0.7328, 0.0165]
nations_AMIE;domainbody;complex;100;0.5;1;gsbr;[119.13801918029785, 3.625191973087985];[0.0132, 0.0001];[0.0133, 0.0002];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3854, 0.022];[0.3855, 0.022];[0.3853, 0.022];[0.6954, 0.0159];[0.5896, 0.0212];[0.7318, 0.0179];[0.6948, 0.0166];[0.5886, 0.0228];[0.7318, 0.0179]
nations_AMIE;domainbody;complex;100;0.5;1;cdcr;[275.1340131282806, 8.349473848355558];[0.1582, 0.0011];[0.0156, 0.0006];[0.0192, 0.0016];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5275, 0.0238];[0.3888, 0.0239];[0.3845, 0.0236];[0.6962, 0.0164];[0.5905, 0.0187];[0.7353, 0.0238];[0.6967, 0.0159];[0.5915, 0.018];[0.7348, 0.0235]
nations_AMIE;domainbody;complex;100;0.5;1;no_reasoner;[86.948131275177, 9.93776633294821];[2.5774, 0.0001];[0.0132, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7444, 0.0116];[0.387, 0.0232];[1.1018, 0.0];[0.7023, 0.0153];[0.598, 0.0194];[0.7408, 0.0202];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_AMIE;full;complex;100;0.5;1;dcr;[218.04357991218566, 6.222533706140918];[0.1702, 0.0005];[0.0173, 0.0009];[0.0426, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5048, 0.0195];[0.3719, 0.0203];[0.3571, 0.0188];[0.7032, 0.0151];[0.5975, 0.0183];[0.7443, 0.0256];[0.7052, 0.0119];[0.6025, 0.0099];[0.7468, 0.0239]
nations_AMIE;full;complex;100;0.5;1;r2n;[139.2846574306488, 11.00362682236363];[0.016, 0.0004];[0.0165, 0.0003];[0.0154, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3817, 0.024];[0.3723, 0.0221];[0.3912, 0.0265];[0.6943, 0.0169];[0.5896, 0.022];[0.7279, 0.0255];[0.6963, 0.0155];[0.5915, 0.0215];[0.7294, 0.0263]
nations_AMIE;full;complex;100;0.5;1;gsbr;[121.32850069999695, 13.167500774983107];[0.0134, 0.0002];[0.0136, 0.0002];[0.0133, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3783, 0.0194];[0.3786, 0.0194];[0.378, 0.0195];[0.7003, 0.015];[0.596, 0.0183];[0.7368, 0.023];[0.7026, 0.0142];[0.6, 0.0173];[0.7363, 0.0255]
nations_AMIE;full;complex;100;0.5;1;cdcr;[273.00877394676206, 1.4511663311308767];[0.2193, 0.0027];[0.0317, 0.001];[0.1262, 0.0051];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9985, 0.0009];[0.997, 0.0018];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4828, 0.0229];[0.3439, 0.0231];[0.341, 0.0227];[0.7024, 0.0144];[0.593, 0.0202];[0.7473, 0.0175];[0.7063, 0.0136];[0.599, 0.02];[0.7527, 0.0168]
